surah:ayah	position	word	meaning	ayah_link
2:286	43	wa-ir'ḥamnā	and have mercy on us	 وَاعْفُ عَنَّا وَاغْفِرْ لَنَا وَارْحَمْنَا
3:132	5	tur'ḥamūna	receive mercy	 وَأَطِيعُوا اللَّهَ وَالرَّسُولَ لَعَلَّكُمْ تُرْحَمُونَ
6:16	6	raḥimahu	He had Mercy on him	 مَنْ يُصْرَفْ عَنْهُ يَوْمَئِذٍ فَقَدْ رَحِمَهُ وَذَٰلِكَ الْفَوْزُ الْمُبِينُ
6:155	8	tur'ḥamūna	receive mercy	 وَهَٰذَا كِتَابٌ أَنْزَلْنَاهُ مُبَارَكٌ فَاتَّبِعُوهُ وَاتَّقُوا لَعَلَّكُمْ تُرْحَمُونَ
7:23	9	watarḥamnā	and have mercy (on) us	 وَإِنْ لَمْ تَغْفِرْ لَنَا وَتَرْحَمْنَا لَنَكُونَنَّ مِنَ الْخَاسِرِينَ
7:63	13	tur'ḥamūna	receive mercy	 أَوَعَجِبْتُمْ أَنْ جَاءَكُمْ ذِكْرٌ مِنْ رَبِّكُمْ عَلَىٰ رَجُلٍ مِنْكُمْ لِيُنْذِرَكُمْ وَلِتَتَّقُوا وَلَعَلَّكُمْ تُرْحَمُونَ
7:149	12	yarḥamnā	has Mercy on us	 قَالُوا لَئِنْ لَمْ يَرْحَمْنَا رَبُّنَا وَيَغْفِرْ لَنَا لَنَكُونَنَّ مِنَ الْخَاسِرِينَ
7:155	38	wa-ir'ḥamnā	and have mercy upon us	 أَنْتَ وَلِيُّنَا فَاغْفِرْ لَنَا وَارْحَمْنَا وَأَنْتَ خَيْرُ الْغَافِرِينَ
7:204	8	tur'ḥamūna	receive mercy	 وَإِذَا قُرِئَ الْقُرْآنُ فَاسْتَمِعُوا لَهُ وَأَنْصِتُوا لَعَلَّكُمْ تُرْحَمُونَ
9:71	19	sayarḥamuhumu	Allah will have mercy on them	 أُولَٰئِكَ سَيَرْحَمُهُمُ اللَّهُ إِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ
11:43	17	raḥima	He has mercy	 قَالَ لَا عَاصِمَ الْيَوْمَ مِنْ أَمْرِ اللَّهِ إِلَّا مَنْ رَحِمَ
11:47	16	watarḥamnī	and You have mercy on me	 وَإِلَّا تَغْفِرْ لِي وَتَرْحَمْنِي أَكُنْ مِنَ الْخَاسِرِينَ
11:119	3	raḥima	your Lord has bestowed Mercy	 إِلَّا مَنْ رَحِمَ رَبُّكَ وَلِذَٰلِكَ خَلَقَهُمْ
12:53	10	raḥima	bestows Mercy	 إِنَّ النَّفْسَ لَأَمَّارَةٌ بِالسُّوءِ إِلَّا مَا رَحِمَ رَبِّي
17:8	4	yarḥamakum	(may) have mercy upon you	 عَسَىٰ رَبُّكُمْ أَنْ يَرْحَمَكُمْ وَإِنْ عُدْتُمْ عُدْنَا
17:24	9	ir'ḥamhumā	Have mercy on both of them	 وَقُلْ رَبِّ ارْحَمْهُمَا كَمَا رَبَّيَانِي صَغِيرًا
