surah:ayah	position	word	meaning	ayah_link
1:1	3	l-raḥmāni	the Most Gracious	 بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
1:3	1	al-raḥmāni	The Most Gracious	 الرَّحْمَٰنِ الرَّحِيمِ
2:163	8	l-raḥmānu	the Most Gracious	 وَإِلَٰهُكُمْ إِلَٰهٌ وَاحِدٌ لَا إِلَٰهَ إِلَّا هُوَ الرَّحْمَٰنُ الرَّحِيمُ
13:30	17	bil-raḥmāni	in the Most Gracious	 لِتَتْلُوَ عَلَيْهِمُ الَّذِي أَوْحَيْنَا إِلَيْكَ وَهُمْ يَكْفُرُونَ بِالرَّحْمَٰنِ
17:110	6	l-raḥmāna	the Most Gracious	 قُلِ ادْعُوا اللَّهَ أَوِ ادْعُوا الرَّحْمَٰنَ
19:18	4	bil-raḥmāni	with the Most Gracious	 قَالَتْ إِنِّي أَعُوذُ بِالرَّحْمَٰنِ مِنْكَ إِنْ كُنْتَ تَقِيًّا
19:26	13	lilrraḥmāni	to the Most Gracious	 إِنِّي نَذَرْتُ لِلرَّحْمَٰنِ صَوْمًا فَلَنْ أُكَلِّمَ الْيَوْمَ إِنْسِيًّا
19:44	8	lilrraḥmāni	to the Most Gracious	 يَا أَبَتِ لَا تَعْبُدِ الشَّيْطَانَ إِنَّ الشَّيْطَانَ كَانَ لِلرَّحْمَٰنِ عَصِيًّا
19:45	8	l-raḥmāni	the Most Gracious	 يَا أَبَتِ إِنِّي أَخَافُ أَنْ يَمَسَّكَ عَذَابٌ مِنَ الرَّحْمَٰنِ فَتَكُونَ لِلشَّيْطَانِ وَلِيًّا
19:58	26	l-raḥmāni	(of) the Most Gracious	 إِذَا تُتْلَىٰ عَلَيْهِمْ آيَاتُ الرَّحْمَٰنِ خَرُّوا سُجَّدًا وَبُكِيًّا
19:61	5	l-raḥmānu	the Most Gracious	 جَنَّاتِ عَدْنٍ الَّتِي وَعَدَ الرَّحْمَٰنُ عِبَادَهُ بِالْغَيْبِ
19:69	9	l-raḥmāni	the Most Gracious	 ثُمَّ لَنَنْزِعَنَّ مِنْ كُلِّ شِيعَةٍ أَيُّهُمْ أَشَدُّ عَلَى الرَّحْمَٰنِ عِتِيًّا
19:75	8	l-raḥmānu	the Most Gracious	 قُلْ مَنْ كَانَ فِي الضَّلَالَةِ فَلْيَمْدُدْ لَهُ الرَّحْمَٰنُ مَدًّا
19:78	6	l-raḥmāni	the Most Gracious	 أَطَّلَعَ الْغَيْبَ أَمِ اتَّخَذَ عِنْدَ الرَّحْمَٰنِ عَهْدًا
19:85	5	l-raḥmāni	the Most Gracious	 يَوْمَ نَحْشُرُ الْمُتَّقِينَ إِلَى الرَّحْمَٰنِ وَفْدًا
19:87	8	l-raḥmāni	the Most Gracious	 لَا يَمْلِكُونَ الشَّفَاعَةَ إِلَّا مَنِ اتَّخَذَ عِنْدَ الرَّحْمَٰنِ عَهْدًا
19:88	3	l-raḥmānu	the Most Gracious	 وَقَالُوا اتَّخَذَ الرَّحْمَٰنُ وَلَدًا
19:91	3	lilrraḥmāni	to the Most Gracious	 أَنْ دَعَوْا لِلرَّحْمَٰنِ وَلَدًا
19:92	3	lilrraḥmāni	for the Most Gracious	 وَمَا يَنْبَغِي لِلرَّحْمَٰنِ أَنْ يَتَّخِذَ وَلَدًا
19:93	9	l-raḥmāni	(to) the Most Gracious	 إِنْ كُلُّ مَنْ فِي السَّمَاوَاتِ وَالْأَرْضِ إِلَّا آتِي الرَّحْمَٰنِ عَبْدًا
19:96	8	l-raḥmānu	the Most Gracious	 إِنَّ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ سَيَجْعَلُ لَهُمُ الرَّحْمَٰنُ وُدًّا
20:5	1	al-raḥmānu	The Most Gracious	 الرَّحْمَٰنُ عَلَى الْعَرْشِ اسْتَوَىٰ
20:90	13	l-raḥmānu	(is) the Most Gracious	 وَإِنَّ رَبَّكُمُ الرَّحْمَٰنُ فَاتَّبِعُونِي وَأَطِيعُوا أَمْرِي
20:108	9	lilrraḥmāni	for the Most Gracious	 وَخَشَعَتِ الْأَصْوَاتُ لِلرَّحْمَٰنِ فَلَا تَسْمَعُ إِلَّا هَمْسًا
20:109	9	l-raḥmānu	the Most Gracious	 يَوْمَئِذٍ لَا تَنْفَعُ الشَّفَاعَةُ إِلَّا مَنْ أَذِنَ لَهُ الرَّحْمَٰنُ وَرَضِيَ لَهُ قَوْلًا
21:26	3	l-raḥmānu	the Most Gracious	 وَقَالُوا اتَّخَذَ الرَّحْمَٰنُ وَلَدًا سُبْحَانَهُ بَلْ عِبَادٌ مُكْرَمُونَ
21:36	15	l-raḥmāni	(of) the Most Gracious	 أَهَٰذَا الَّذِي يَذْكُرُ آلِهَتَكُمْ وَهُمْ بِذِكْرِ الرَّحْمَٰنِ هُمْ كَافِرُونَ
21:42	7	l-raḥmāni	the Most Gracious	 قُلْ مَنْ يَكْلَؤُكُمْ بِاللَّيْلِ وَالنَّهَارِ مِنَ الرَّحْمَٰنِ
21:112	6	l-raḥmānu	(is) the Most Gracious	 قَالَ رَبِّ احْكُمْ بِالْحَقِّ وَرَبُّنَا الرَّحْمَٰنُ الْمُسْتَعَانُ عَلَىٰ مَا تَصِفُونَ
25:26	4	lilrraḥmāni	for the Most Gracious	 الْمُلْكُ يَوْمَئِذٍ الْحَقُّ لِلرَّحْمَٰنِ وَكَانَ يَوْمًا عَلَى الْكَافِرِينَ عَسِيرًا
25:59	14	l-raḥmānu	the Most Gracious	 ثُمَّ اسْتَوَىٰ عَلَى الْعَرْشِ الرَّحْمَٰنُ فَاسْأَلْ بِهِ خَبِيرًا
25:60	5	lilrraḥmāni	to the Most Gracious	 وَإِذَا قِيلَ لَهُمُ اسْجُدُوا لِلرَّحْمَٰنِ
25:60	8	l-raḥmānu	(is) the Most Gracious	 قَالُوا وَمَا الرَّحْمَٰنُ أَنَسْجُدُ لِمَا تَأْمُرُنَا وَزَادَهُمْ نُفُورًا
25:63	2	l-raḥmāni	(of) the Most Gracious	 وَعِبَادُ الرَّحْمَٰنِ الَّذِينَ يَمْشُونَ عَلَى الْأَرْضِ هَوْنًا
26:5	6	l-raḥmāni	the Most Gracious	 وَمَا يَأْتِيهِمْ مِنْ ذِكْرٍ مِنَ الرَّحْمَٰنِ مُحْدَثٍ إِلَّا كَانُوا عَنْهُ مُعْرِضِينَ
27:30	7	l-raḥmāni	the Most Gracious	 إِنَّهُ مِنْ سُلَيْمَانَ وَإِنَّهُ بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
36:11	7	l-raḥmāna	the Most Gracious	 إِنَّمَا تُنْذِرُ مَنِ اتَّبَعَ الذِّكْرَ وَخَشِيَ الرَّحْمَٰنَ بِالْغَيْبِ
36:15	9	l-raḥmānu	the Most Gracious	 قَالُوا مَا أَنْتُمْ إِلَّا بَشَرٌ مِثْلُنَا وَمَا أَنْزَلَ الرَّحْمَٰنُ مِنْ شَيْءٍ
36:23	7	l-raḥmānu	the Most Gracious	 إِنْ يُرِدْنِ الرَّحْمَٰنُ بِضُرٍّ لَا تُغْنِ عَنِّي شَفَاعَتُهُمْ شَيْئًا
36:52	10	l-raḥmānu	the Most Gracious	 هَٰذَا مَا وَعَدَ الرَّحْمَٰنُ وَصَدَقَ الْمُرْسَلُونَ
41:2	3	l-raḥmāni	the Most Gracious	 تَنْزِيلٌ مِنَ الرَّحْمَٰنِ الرَّحِيمِ
43:17	6	lilrraḥmāni	for the Most Gracious	 وَإِذَا بُشِّرَ أَحَدُهُمْ بِمَا ضَرَبَ لِلرَّحْمَٰنِ مَثَلًا ظَلَّ وَجْهُهُ مُسْوَدًّا
43:19	6	l-raḥmāni	(of) the Most Gracious	 وَجَعَلُوا الْمَلَائِكَةَ الَّذِينَ هُمْ عِبَادُ الرَّحْمَٰنِ إِنَاثًا
43:20	4	l-raḥmānu	the Most Gracious	 وَقَالُوا لَوْ شَاءَ الرَّحْمَٰنُ مَا عَبَدْنَاهُمْ
43:33	10	bil-raḥmāni	in the Most Gracious	 لَجَعَلْنَا لِمَنْ يَكْفُرُ بِالرَّحْمَٰنِ لِبُيُوتِهِمْ سُقُفًا مِنْ فِضَّةٍ
43:36	5	l-raḥmāni	(of) the Most Gracious	 وَمَنْ يَعْشُ عَنْ ذِكْرِ الرَّحْمَٰنِ نُقَيِّضْ لَهُ شَيْطَانًا فَهُوَ لَهُ قَرِينٌ
43:45	11	l-raḥmāni	the Most Gracious	 أَجَعَلْنَا مِنْ دُونِ الرَّحْمَٰنِ آلِهَةً يُعْبَدُونَ
43:81	4	lilrraḥmāni	the Most Gracious	 قُلْ إِنْ كَانَ لِلرَّحْمَٰنِ وَلَدٌ فَأَنَا أَوَّلُ الْعَابِدِينَ
50:33	3	l-raḥmāna	the Most Gracious	 مَنْ خَشِيَ الرَّحْمَٰنَ بِالْغَيْبِ وَجَاءَ بِقَلْبٍ مُنِيبٍ
55:1	1	al-raḥmānu	The Most Gracious	 الرَّحْمَٰنُ
59:22	12	l-raḥmānu	(is) the Most Gracious	 عَالِمُ الْغَيْبِ وَالشَّهَادَةِ هُوَ الرَّحْمَٰنُ الرَّحِيمُ
67:3	10	l-raḥmāni	(of) the Most Gracious	 مَا تَرَىٰ فِي خَلْقِ الرَّحْمَٰنِ مِنْ تَفَاوُتٍ
67:19	11	l-raḥmānu	the Most Gracious	 مَا يُمْسِكُهُنَّ إِلَّا الرَّحْمَٰنُ إِنَّهُ بِكُلِّ شَيْءٍ بَصِيرٌ
67:20	10	l-raḥmāni	the Most Gracious	 أَمَّنْ هَٰذَا الَّذِي هُوَ جُنْدٌ لَكُمْ يَنْصُرُكُمْ مِنْ دُونِ الرَّحْمَٰنِ
67:29	3	l-raḥmānu	(is) the Most Gracious	 قُلْ هُوَ الرَّحْمَٰنُ آمَنَّا بِهِ وَعَلَيْهِ تَوَكَّلْنَا
78:37	6	l-raḥmāni	the Most Gracious	 رَبِّ السَّمَاوَاتِ وَالْأَرْضِ وَمَا بَيْنَهُمَا الرَّحْمَٰنِ
78:38	12	l-raḥmānu	the Most Gracious	 لَا يَتَكَلَّمُونَ إِلَّا مَنْ أَذِنَ لَهُ الرَّحْمَٰنُ وَقَالَ صَوَابًا
