surah:ayah	position	word	meaning	ayah_link
2:63	4	warafaʿnā	and We raised	 وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُمُ الطُّورَ
2:93	4	warafaʿnā	and We raised	 وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُمُ الطُّورَ
2:127	2	yarfaʿu	(was) raising	 وَإِذْ يَرْفَعُ إِبْرَاهِيمُ الْقَوَاعِدَ مِنَ الْبَيْتِ وَإِسْمَاعِيلُ
2:253	11	warafaʿa	and He raised	 مِنْهُمْ مَنْ كَلَّمَ اللَّهُ وَرَفَعَ بَعْضَهُمْ دَرَجَاتٍ
4:154	1	warafaʿnā	And We raised	 وَرَفَعْنَا فَوْقَهُمُ الطُّورَ بِمِيثَاقِهِمْ وَقُلْنَا لَهُمُ ادْخُلُوا الْبَابَ سُجَّدًا
4:158	2	rafaʿahu	he was raised	 بَلْ رَفَعَهُ اللَّهُ إِلَيْهِ وَكَانَ اللَّهُ عَزِيزًا حَكِيمًا
6:83	7	narfaʿu	We raise	 وَتِلْكَ حُجَّتُنَا آتَيْنَاهَا إِبْرَاهِيمَ عَلَىٰ قَوْمِهِ نَرْفَعُ دَرَجَاتٍ مَنْ نَشَاءُ
6:165	6	warafaʿa	and raised	 وَرَفَعَ بَعْضَكُمْ فَوْقَ بَعْضٍ دَرَجَاتٍ
7:176	3	larafaʿnāhu	surely, We (could) have raised him	 وَلَوْ شِئْنَا لَرَفَعْنَاهُ بِهَا وَلَٰكِنَّهُ أَخْلَدَ إِلَى الْأَرْضِ وَاتَّبَعَ هَوَاهُ
12:76	25	narfaʿu	We raise	 نَرْفَعُ دَرَجَاتٍ مَنْ نَشَاءُ وَفَوْقَ كُلِّ ذِي عِلْمٍ عَلِيمٌ
12:100	1	warafaʿa	And he raised	 وَرَفَعَ أَبَوَيْهِ عَلَى الْعَرْشِ وَخَرُّوا لَهُ سُجَّدًا
13:2	3	rafaʿa	raised	 اللَّهُ الَّذِي رَفَعَ السَّمَاوَاتِ بِغَيْرِ عَمَدٍ تَرَوْنَهَا
19:57	1	warafaʿnāhu	And We raised him	 وَرَفَعْنَاهُ مَكَانًا عَلِيًّا
24:36	6	tur'faʿa	they be raised	 فِي بُيُوتٍ أَذِنَ اللَّهُ أَنْ تُرْفَعَ وَيُذْكَرَ فِيهَا اسْمُهُ
35:10	14	yarfaʿuhu	raises it	 إِلَيْهِ يَصْعَدُ الْكَلِمُ الطَّيِّبُ وَالْعَمَلُ الصَّالِحُ يَرْفَعُهُ
43:32	12	warafaʿnā	and We raise	 وَرَفَعْنَا بَعْضَهُمْ فَوْقَ بَعْضٍ دَرَجَاتٍ لِيَتَّخِذَ بَعْضُهُمْ بَعْضًا سُخْرِيًّا
49:2	5	tarfaʿū	raise	 يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَرْفَعُوا أَصْوَاتَكُمْ فَوْقَ صَوْتِ النَّبِيِّ
55:7	2	rafaʿahā	He raised it	 وَالسَّمَاءَ رَفَعَهَا وَوَضَعَ الْمِيزَانَ
58:11	18	yarfaʿi	Allah will raise	 يَرْفَعِ اللَّهُ الَّذِينَ آمَنُوا مِنْكُمْ وَالَّذِينَ أُوتُوا الْعِلْمَ دَرَجَاتٍ
79:28	1	rafaʿa	He raised	 رَفَعَ سَمْكَهَا فَسَوَّاهَا
88:18	4	rufiʿat	it is raised	 وَإِلَى السَّمَاءِ كَيْفَ رُفِعَتْ
94:4	1	warafaʿnā	And We raised high	 وَرَفَعْنَا لَكَ ذِكْرَكَ
40:15	1	rafīʿu	Possessor of the Highest Ranks	 رَفِيعُ الدَّرَجَاتِ ذُو الْعَرْشِ
3:55	7	warāfiʿuka	and raise you	 إِذْ قَالَ اللَّهُ يَا عِيسَىٰ إِنِّي مُتَوَفِّيكَ وَرَافِعُكَ إِلَيَّ
56:3	2	rāfiʿatun	raising up	 خَافِضَةٌ رَافِعَةٌ
52:5	2	l-marfūʿi	raised high	 وَالسَّقْفِ الْمَرْفُوعِ
80:14	1	marfūʿatin	Exalted	 مَرْفُوعَةٍ مُطَهَّرَةٍ
88:13	3	marfūʿatun	raised high	 فِيهَا سُرُرٌ مَرْفُوعَةٌ
56:34	2	marfūʿatin	raised	 وَفُرُشٍ مَرْفُوعَةٍ
