surah:ayah	position	word	meaning	ayah_link
2:40	13	fa-ir'habūni	fear [Me]	 وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ
7:154	15	yarhabūna	(are) fearful	 وَفِي نُسْخَتِهَا هُدًى وَرَحْمَةٌ لِلَّذِينَ هُمْ لِرَبِّهِمْ يَرْهَبُونَ
16:51	12	fa-ir'habūni	you fear [Me]	 إِنَّمَا هُوَ إِلَٰهٌ وَاحِدٌ فَإِيَّايَ فَارْهَبُونِ
8:60	10	tur'hibūna	(to) terrify	 تُرْهِبُونَ بِهِ عَدُوَّ اللَّهِ وَعَدُوَّكُمْ وَآخَرِينَ مِنْ دُونِهِمْ
7:116	8	wa-is'tarhabūhum	and terrified them	 وَاسْتَرْهَبُوهُمْ وَجَاءُوا بِسِحْرٍ عَظِيمٍ
28:32	14	l-rahbi	fear	 وَاضْمُمْ إِلَيْكَ جَنَاحَكَ مِنَ الرَّهْبِ
21:90	16	warahaban	and fear	 إِنَّهُمْ كَانُوا يُسَارِعُونَ فِي الْخَيْرَاتِ وَيَدْعُونَنَا رَغَبًا وَرَهَبًا
5:82	23	waruh'bānan	and monks	 ذَٰلِكَ بِأَنَّ مِنْهُمْ قِسِّيسِينَ وَرُهْبَانًا وَأَنَّهُمْ لَا يَسْتَكْبِرُونَ
9:31	3	waruh'bānahum	and their monks	 اتَّخَذُوا أَحْبَارَهُمْ وَرُهْبَانَهُمْ أَرْبَابًا مِنْ دُونِ اللَّهِ
9:34	8	wal-ruh'bāni	and the monks	 إِنَّ كَثِيرًا مِنَ الْأَحْبَارِ وَالرُّهْبَانِ لَيَأْكُلُونَ أَمْوَالَ النَّاسِ بِالْبَاطِلِ
57:27	19	warahbāniyyatan	But monasticism	 وَجَعَلْنَا فِي قُلُوبِ الَّذِينَ اتَّبَعُوهُ رَأْفَةً وَرَحْمَةً وَرَهْبَانِيَّةً ابْتَدَعُوهَا
59:13	3	rahbatan	(in) fear	 لَأَنْتُمْ أَشَدُّ رَهْبَةً فِي صُدُورِهِمْ مِنَ اللَّهِ
