surah:ayah	position	word	meaning	ayah_link
7:116	5	saḥarū	they bewitched	 فَلَمَّا أَلْقَوْا سَحَرُوا أَعْيُنَ النَّاسِ وَاسْتَرْهَبُوهُمْ
7:132	7	litasḥaranā	so that you bewitch us	 وَقَالُوا مَهْمَا تَأْتِنَا بِهِ مِنْ آيَةٍ لِتَسْحَرَنَا بِهَا فَمَا نَحْنُ لَكَ بِمُؤْمِنِينَ
23:89	5	tus'ḥarūna	are you deluded	 سَيَقُولُونَ لِلَّهِ قُلْ فَأَنَّىٰ تُسْحَرُونَ
26:37	3	saḥḥārin	magician	 يَأْتُوكَ بِكُلِّ سَحَّارٍ عَلِيمٍ
2:102	16	l-siḥ'ra	[the] magic	 يُعَلِّمُونَ النَّاسَ السِّحْرَ وَمَا أُنْزِلَ عَلَى الْمَلَكَيْنِ بِبَابِلَ
5:110	62	siḥ'run	magic	 فَقَالَ الَّذِينَ كَفَرُوا مِنْهُمْ إِنْ هَٰذَا إِلَّا سِحْرٌ مُبِينٌ
6:7	15	siḥ'run	magic	 فَلَمَسُوهُ بِأَيْدِيهِمْ لَقَالَ الَّذِينَ كَفَرُوا إِنْ هَٰذَا إِلَّا سِحْرٌ مُبِينٌ
7:116	10	bisiḥ'rin	with a magic	 سَحَرُوا أَعْيُنَ النَّاسِ وَاسْتَرْهَبُوهُمْ وَجَاءُوا بِسِحْرٍ عَظِيمٍ
10:76	9	lasiḥ'run	(is) surely, a magic	 فَلَمَّا جَاءَهُمُ الْحَقُّ مِنْ عِنْدِنَا قَالُوا إِنَّ هَٰذَا لَسِحْرٌ مُبِينٌ
10:77	7	asiḥ'run	Is this magic	 أَسِحْرٌ هَٰذَا وَلَا يُفْلِحُ السَّاحِرُونَ
10:81	8	l-siḥ'ru	(is) the magic	 فَلَمَّا أَلْقَوْا قَالَ مُوسَىٰ مَا جِئْتُمْ بِهِ السِّحْرُ إِنَّ اللَّهَ سَيُبْطِلُهُ
11:7	30	siḥ'run	a magic	 لَيَقُولَنَّ الَّذِينَ كَفَرُوا إِنْ هَٰذَا إِلَّا سِحْرٌ مُبِينٌ
20:57	6	bisiḥ'rika	with your magic	 قَالَ أَجِئْتَنَا لِتُخْرِجَنَا مِنْ أَرْضِنَا بِسِحْرِكَ يَا مُوسَىٰ
20:58	2	bisiḥ'rin	magic	 فَلَنَأْتِيَنَّكَ بِسِحْرٍ مِثْلِهِ فَاجْعَلْ بَيْنَنَا وَبَيْنَكَ مَوْعِدًا
20:63	10	bisiḥ'rihimā	with their magic	 يُرِيدَانِ أَنْ يُخْرِجَاكُمْ مِنْ أَرْضِكُمْ بِسِحْرِهِمَا
20:66	10	siḥ'rihim	their magic	 فَإِذَا حِبَالُهُمْ وَعِصِيُّهُمْ يُخَيَّلُ إِلَيْهِ مِنْ سِحْرِهِمْ أَنَّهَا تَسْعَىٰ
20:71	12	l-siḥ'ra	the magic	 إِنَّهُ لَكَبِيرُكُمُ الَّذِي عَلَّمَكُمُ السِّحْرَ
20:73	11	l-siḥ'ri	the magic	 إِنَّا آمَنَّا بِرَبِّنَا لِيَغْفِرَ لَنَا خَطَايَانَا وَمَا أَكْرَهْتَنَا عَلَيْهِ مِنَ السِّحْرِ
21:3	13	l-siḥ'ra	the magic	 هَلْ هَٰذَا إِلَّا بَشَرٌ مِثْلُكُمْ أَفَتَأْتُونَ السِّحْرَ وَأَنْتُمْ تُبْصِرُونَ
26:35	6	bisiḥ'rihi	by his magic	 يُرِيدُ أَنْ يُخْرِجَكُمْ مِنْ أَرْضِكُمْ بِسِحْرِهِ فَمَاذَا تَأْمُرُونَ
26:49	12	l-siḥ'ra	the magic	 إِنَّهُ لَكَبِيرُكُمُ الَّذِي عَلَّمَكُمُ السِّحْرَ فَلَسَوْفَ تَعْلَمُونَ
27:13	7	siḥ'run	(is) a magic	 فَلَمَّا جَاءَتْهُمْ آيَاتُنَا مُبْصِرَةً قَالُوا هَٰذَا سِحْرٌ مُبِينٌ
28:36	10	siḥ'run	a magic	 فَلَمَّا جَاءَهُمْ مُوسَىٰ بِآيَاتِنَا بَيِّنَاتٍ قَالُوا مَا هَٰذَا إِلَّا سِحْرٌ مُفْتَرًى
28:48	21	siḥ'rāni	Two magic (works)	 قَالُوا سِحْرَانِ تَظَاهَرَا وَقَالُوا إِنَّا بِكُلٍّ كَافِرُونَ
34:43	33	siḥ'run	a magic	 وَقَالَ الَّذِينَ كَفَرُوا لِلْحَقِّ لَمَّا جَاءَهُمْ إِنْ هَٰذَا إِلَّا سِحْرٌ مُبِينٌ
37:15	5	siḥ'run	a magic	 وَقَالُوا إِنْ هَٰذَا إِلَّا سِحْرٌ مُبِينٌ
43:30	6	siḥ'run	(is) magic	 وَلَمَّا جَاءَهُمُ الْحَقُّ قَالُوا هَٰذَا سِحْرٌ وَإِنَّا بِهِ كَافِرُونَ
46:7	13	siḥ'run	(is) a magic	 قَالَ الَّذِينَ كَفَرُوا لِلْحَقِّ لَمَّا جَاءَهُمْ هَٰذَا سِحْرٌ مُبِينٌ
52:15	1	afasiḥ'run	Then is this magic	 أَفَسِحْرٌ هَٰذَا أَمْ أَنْتُمْ لَا تُبْصِرُونَ
54:2	6	siḥ'run	Magic	 وَإِنْ يَرَوْا آيَةً يُعْرِضُوا وَيَقُولُوا سِحْرٌ مُسْتَمِرٌّ
61:6	30	siḥ'run	(is) a magic	 فَلَمَّا جَاءَهُمْ بِالْبَيِّنَاتِ قَالُوا هَٰذَا سِحْرٌ مُبِينٌ
74:24	5	siḥ'run	magic	 فَقَالَ إِنْ هَٰذَا إِلَّا سِحْرٌ يُؤْثَرُ
3:17	6	bil-asḥāri	[in the] before dawn	 الصَّابِرِينَ وَالصَّادِقِينَ وَالْقَانِتِينَ وَالْمُنْفِقِينَ وَالْمُسْتَغْفِرِينَ بِالْأَسْحَارِ
51:18	1	wabil-asḥāri	And in the hours before dawn	 وَبِالْأَسْحَارِ هُمْ يَسْتَغْفِرُونَ
54:34	9	bisaḥarin	by dawn	 إِنَّا أَرْسَلْنَا عَلَيْهِمْ حَاصِبًا إِلَّا آلَ لُوطٍ نَجَّيْنَاهُمْ بِسَحَرٍ
7:109	8	lasāḥirun	(is) surely a magician 	 قَالَ الْمَلَأُ مِنْ قَوْمِ فِرْعَوْنَ إِنَّ هَٰذَا لَسَاحِرٌ عَلِيمٌ
7:112	3	sāḥirin	magician	 يَأْتُوكَ بِكُلِّ سَاحِرٍ عَلِيمٍ
7:113	2	l-saḥaratu	the magicians	 وَجَاءَ السَّحَرَةُ فِرْعَوْنَ قَالُوا إِنَّ لَنَا لَأَجْرًا إِنْ كُنَّا نَحْنُ الْغَالِبِينَ
7:120	2	l-saḥaratu	the magicians	 وَأُلْقِيَ السَّحَرَةُ سَاجِدِينَ
10:2	25	lasāḥirun	(is) surely a magician	 قَالَ الْكَافِرُونَ إِنَّ هَٰذَا لَسَاحِرٌ مُبِينٌ
10:77	11	l-sāḥirūna	the magicians	 أَسِحْرٌ هَٰذَا وَلَا يُفْلِحُ السَّاحِرُونَ
10:79	5	sāḥirin	magician	 وَقَالَ فِرْعَوْنُ ائْتُونِي بِكُلِّ سَاحِرٍ عَلِيمٍ
10:80	3	l-saḥaratu	the magicians	 فَلَمَّا جَاءَ السَّحَرَةُ قَالَ لَهُمْ مُوسَىٰ أَلْقُوا مَا أَنْتُمْ مُلْقُونَ
20:63	4	lasāḥirāni	[two] magicians	 قَالُوا إِنْ هَٰذَانِ لَسَاحِرَانِ يُرِيدَانِ أَنْ يُخْرِجَاكُمْ مِنْ أَرْضِكُمْ بِسِحْرِهِمَا
20:69	11	sāḥirin	(of) a magician	 وَأَلْقِ مَا فِي يَمِينِكَ تَلْقَفْ مَا صَنَعُوا إِنَّمَا صَنَعُوا كَيْدُ سَاحِرٍ
20:69	14	l-sāḥiru	the magician	 وَلَا يُفْلِحُ السَّاحِرُ حَيْثُ أَتَىٰ
20:70	2	l-saḥaratu	the magicians	 فَأُلْقِيَ السَّحَرَةُ سُجَّدًا قَالُوا آمَنَّا بِرَبِّ هَارُونَ وَمُوسَىٰ
26:34	6	lasāḥirun	(is) surely a magician	 قَالَ لِلْمَلَإِ حَوْلَهُ إِنَّ هَٰذَا لَسَاحِرٌ عَلِيمٌ
26:38	2	l-saḥaratu	the magicians	 فَجُمِعَ السَّحَرَةُ لِمِيقَاتِ يَوْمٍ مَعْلُومٍ
26:40	3	l-saḥarata	the magicians	 لَعَلَّنَا نَتَّبِعُ السَّحَرَةَ إِنْ كَانُوا هُمُ الْغَالِبِينَ
26:41	3	l-saḥaratu	the magicians	 فَلَمَّا جَاءَ السَّحَرَةُ قَالُوا لِفِرْعَوْنَ أَئِنَّ لَنَا لَأَجْرًا
26:46	2	l-saḥaratu	the magicians	 فَأُلْقِيَ السَّحَرَةُ سَاجِدِينَ
38:4	9	sāḥirun	(is) a magician	 وَقَالَ الْكَافِرُونَ هَٰذَا سَاحِرٌ كَذَّابٌ
40:24	6	sāḥirun	A magician	 إِلَىٰ فِرْعَوْنَ وَهَامَانَ وَقَارُونَ فَقَالُوا سَاحِرٌ كَذَّابٌ
