surah:ayah	position	word	meaning	ayah_link
7:116	5	saḥarū	they bewitched	<a style='color:#95C7FF' href='https://quran.com/7:116/tafsirs/toBeReplaced'> فَلَمَّا أَلْقَوْا سَحَرُوا أَعْيُنَ النَّاسِ وَاسْتَرْهَبُوهُمْ</a>
7:132	7	litasḥaranā	so that you bewitch us	<a style='color:#95C7FF' href='https://quran.com/7:132/tafsirs/toBeReplaced'> وَقَالُوا مَهْمَا تَأْتِنَا بِهِ مِنْ آيَةٍ لِتَسْحَرَنَا بِهَا فَمَا نَحْنُ لَكَ بِمُؤْمِنِينَ</a>
23:89	5	tus'ḥarūna	are you deluded	<a style='color:#95C7FF' href='https://quran.com/23:89/tafsirs/toBeReplaced'> سَيَقُولُونَ لِلَّهِ قُلْ فَأَنَّىٰ تُسْحَرُونَ</a>
26:37	3	saḥḥārin	magician	<a style='color:#95C7FF' href='https://quran.com/26:37/tafsirs/toBeReplaced'> يَأْتُوكَ بِكُلِّ سَحَّارٍ عَلِيمٍ</a>
2:102	16	l-siḥ'ra	[the] magic	<a style='color:#95C7FF' href='https://quran.com/2:102/tafsirs/toBeReplaced'> يُعَلِّمُونَ النَّاسَ السِّحْرَ وَمَا أُنْزِلَ عَلَى الْمَلَكَيْنِ بِبَابِلَ</a>
5:110	62	siḥ'run	magic	<a style='color:#95C7FF' href='https://quran.com/5:110/tafsirs/toBeReplaced'> فَقَالَ الَّذِينَ كَفَرُوا مِنْهُمْ إِنْ هَٰذَا إِلَّا سِحْرٌ مُبِينٌ</a>
6:7	15	siḥ'run	magic	<a style='color:#95C7FF' href='https://quran.com/6:7/tafsirs/toBeReplaced'> فَلَمَسُوهُ بِأَيْدِيهِمْ لَقَالَ الَّذِينَ كَفَرُوا إِنْ هَٰذَا إِلَّا سِحْرٌ مُبِينٌ</a>
7:116	10	bisiḥ'rin	with a magic	<a style='color:#95C7FF' href='https://quran.com/7:116/tafsirs/toBeReplaced'> سَحَرُوا أَعْيُنَ النَّاسِ وَاسْتَرْهَبُوهُمْ وَجَاءُوا بِسِحْرٍ عَظِيمٍ</a>
10:76	9	lasiḥ'run	(is) surely, a magic	<a style='color:#95C7FF' href='https://quran.com/10:76/tafsirs/toBeReplaced'> فَلَمَّا جَاءَهُمُ الْحَقُّ مِنْ عِنْدِنَا قَالُوا إِنَّ هَٰذَا لَسِحْرٌ مُبِينٌ</a>
10:77	7	asiḥ'run	Is this magic	<a style='color:#95C7FF' href='https://quran.com/10:77/tafsirs/toBeReplaced'> أَسِحْرٌ هَٰذَا وَلَا يُفْلِحُ السَّاحِرُونَ</a>
