surah:ayah	position	word	meaning	ayah_link
68:1	4	yasṭurūna	they write	 ن وَالْقَلَمِ وَمَا يَسْطُرُونَ
6:25	31	asāṭīru	(the) tales	 يَقُولُ الَّذِينَ كَفَرُوا إِنْ هَٰذَا إِلَّا أَسَاطِيرُ الْأَوَّلِينَ
8:31	16	asāṭīru	tales	 قَدْ سَمِعْنَا لَوْ نَشَاءُ لَقُلْنَا مِثْلَ هَٰذَا إِنْ هَٰذَا إِلَّا أَسَاطِيرُ الْأَوَّلِينَ
16:24	8	asāṭīru	Tales	 وَإِذَا قِيلَ لَهُمْ مَاذَا أَنْزَلَ رَبُّكُمْ قَالُوا أَسَاطِيرُ الْأَوَّلِينَ
23:83	11	asāṭīru	(the) tales	 إِنْ هَٰذَا إِلَّا أَسَاطِيرُ الْأَوَّلِينَ
25:5	2	asāṭīru	Tales	 وَقَالُوا أَسَاطِيرُ الْأَوَّلِينَ اكْتَتَبَهَا فَهِيَ تُمْلَىٰ عَلَيْهِ بُكْرَةً وَأَصِيلًا
27:68	11	asāṭīru	tales	 لَقَدْ وُعِدْنَا هَٰذَا نَحْنُ وَآبَاؤُنَا مِنْ قَبْلُ إِنْ هَٰذَا إِلَّا أَسَاطِيرُ الْأَوَّلِينَ
46:17	27	asāṭīru	(the) stories	 فَيَقُولُ مَا هَٰذَا إِلَّا أَسَاطِيرُ الْأَوَّلِينَ
68:15	6	asāṭīru	Stories	 إِذَا تُتْلَىٰ عَلَيْهِ آيَاتُنَا قَالَ أَسَاطِيرُ الْأَوَّلِينَ
83:13	6	asāṭīru	Stories	 إِذَا تُتْلَىٰ عَلَيْهِ آيَاتُنَا قَالَ أَسَاطِيرُ الْأَوَّلِينَ
17:58	18	masṭūran	written	 كَانَ ذَٰلِكَ فِي الْكِتَابِ مَسْطُورًا
33:6	29	masṭūran	written	 إِلَّا أَنْ تَفْعَلُوا إِلَىٰ أَوْلِيَائِكُمْ مَعْرُوفًا كَانَ ذَٰلِكَ فِي الْكِتَابِ مَسْطُورًا
52:2	2	masṭūrin	written	 وَكِتَابٍ مَسْطُورٍ
52:37	7	l-muṣayṭirūna	the controllers	 أَمْ عِنْدَهُمْ خَزَائِنُ رَبِّكَ أَمْ هُمُ الْمُصَيْطِرُونَ
88:22	3	bimuṣayṭirin	a controller	 لَسْتَ عَلَيْهِمْ بِمُصَيْطِرٍ
54:53	4	mus'taṭarun	(is) written down	 وَكُلُّ صَغِيرٍ وَكَبِيرٍ مُسْتَطَرٌ
