surah:ayah	position	word	meaning	ayah_link
4:94	15	l-salāma	(a greeting of) peace	 وَلَا تَقُولُوا لِمَنْ أَلْقَىٰ إِلَيْكُمُ السَّلَامَ لَسْتَ مُؤْمِنًا
5:16	8	l-salāmi	(of) the peace	 يَهْدِي بِهِ اللَّهُ مَنِ اتَّبَعَ رِضْوَانَهُ سُبُلَ السَّلَامِ
6:54	7	salāmun	Peace	 وَإِذَا جَاءَكَ الَّذِينَ يُؤْمِنُونَ بِآيَاتِنَا فَقُلْ سَلَامٌ عَلَيْكُمْ
6:127	3	l-salāmi	(of) [the] peace	 لَهُمْ دَارُ السَّلَامِ عِنْدَ رَبِّهِمْ وَهُوَ وَلِيُّهُمْ بِمَا كَانُوا يَعْمَلُونَ
7:46	13	salāmun	Peace	 وَنَادَوْا أَصْحَابَ الْجَنَّةِ أَنْ سَلَامٌ عَلَيْكُمْ
10:10	7	salāmun	Peace	 دَعْوَاهُمْ فِيهَا سُبْحَانَكَ اللَّهُمَّ وَتَحِيَّتُهُمْ فِيهَا سَلَامٌ
10:25	5	l-salāmi	(of) the Peace	 وَاللَّهُ يَدْعُو إِلَىٰ دَارِ السَّلَامِ
11:48	4	bisalāmin	with peace	 قِيلَ يَا نُوحُ اهْبِطْ بِسَلَامٍ مِنَّا وَبَرَكَاتٍ عَلَيْكَ
11:69	7	salāman	Peace	 وَلَقَدْ جَاءَتْ رُسُلُنَا إِبْرَاهِيمَ بِالْبُشْرَىٰ قَالُوا سَلَامًا
11:69	9	salāmun	Peace	 وَلَقَدْ جَاءَتْ رُسُلُنَا إِبْرَاهِيمَ بِالْبُشْرَىٰ قَالُوا سَلَامًا قَالَ سَلَامٌ
13:24	1	salāmun	"(Saying), ""Peace"	 سَلَامٌ عَلَيْكُمْ بِمَا صَبَرْتُمْ فَنِعْمَ عُقْبَى الدَّارِ
14:23	17	salāmun	(will be) peace	 خَالِدِينَ فِيهَا بِإِذْنِ رَبِّهِمْ تَحِيَّتُهُمْ فِيهَا سَلَامٌ
15:46	2	bisalāmin	in peace	 ادْخُلُوهَا بِسَلَامٍ آمِنِينَ
15:52	5	salāman	Peace	 إِذْ دَخَلُوا عَلَيْهِ فَقَالُوا سَلَامًا قَالَ إِنَّا مِنْكُمْ وَجِلُونَ
16:32	6	salāmun	Peace	 يَقُولُونَ سَلَامٌ عَلَيْكُمُ ادْخُلُوا الْجَنَّةَ بِمَا كُنْتُمْ تَعْمَلُونَ
19:15	1	wasalāmun	And peace be	 وَسَلَامٌ عَلَيْهِ يَوْمَ وُلِدَ وَيَوْمَ يَمُوتُ وَيَوْمَ يُبْعَثُ حَيًّا
19:33	1	wal-salāmu	And peace (be)	 وَالسَّلَامُ عَلَيَّ يَوْمَ وُلِدْتُ وَيَوْمَ أَمُوتُ وَيَوْمَ أُبْعَثُ حَيًّا
19:47	2	salāmun	Peace (be)	 قَالَ سَلَامٌ عَلَيْكَ سَأَسْتَغْفِرُ لَكَ رَبِّي إِنَّهُ كَانَ بِي حَفِيًّا
19:62	6	salāman	peace	 لَا يَسْمَعُونَ فِيهَا لَغْوًا إِلَّا سَلَامًا
20:47	17	wal-salāmu	And peace	 قَدْ جِئْنَاكَ بِآيَةٍ مِنْ رَبِّكَ وَالسَّلَامُ عَلَىٰ مَنِ اتَّبَعَ الْهُدَىٰ
21:69	5	wasalāman	and safe[ty]	 قُلْنَا يَا نَارُ كُونِي بَرْدًا وَسَلَامًا عَلَىٰ إِبْرَاهِيمَ
25:63	12	salāman	Peace	 وَإِذَا خَاطَبَهُمُ الْجَاهِلُونَ قَالُوا سَلَامًا
25:75	9	wasalāman	and peace	 وَيُلَقَّوْنَ فِيهَا تَحِيَّةً وَسَلَامًا
27:59	4	wasalāmun	and peace (be)	 قُلِ الْحَمْدُ لِلَّهِ وَسَلَامٌ عَلَىٰ عِبَادِهِ الَّذِينَ اصْطَفَىٰ
28:55	11	salāmun	Peace (be)	 سَلَامٌ عَلَيْكُمْ لَا نَبْتَغِي الْجَاهِلِينَ
33:44	4	salāmun	"(will be), ""Peace"	 تَحِيَّتُهُمْ يَوْمَ يَلْقَوْنَهُ سَلَامٌ وَأَعَدَّ لَهُمْ أَجْرًا كَرِيمًا
36:58	1	salāmun	Peace	 سَلَامٌ قَوْلًا مِنْ رَبٍّ رَحِيمٍ
37:79	1	salāmun	Peace be	 سَلَامٌ عَلَىٰ نُوحٍ فِي الْعَالَمِينَ
37:109	1	salāmun	Peace be	 سَلَامٌ عَلَىٰ إِبْرَاهِيمَ
37:120	1	salāmun	Peace be	 سَلَامٌ عَلَىٰ مُوسَىٰ وَهَارُونَ
37:130	1	salāmun	Peace be	 سَلَامٌ عَلَىٰ إِلْ يَاسِينَ
37:181	1	wasalāmun	And peace be	 وَسَلَامٌ عَلَى الْمُرْسَلِينَ
39:73	16	salāmun	Peace be	 وَقَالَ لَهُمْ خَزَنَتُهَا سَلَامٌ عَلَيْكُمْ طِبْتُمْ فَادْخُلُوهَا خَالِدِينَ
43:89	4	salāmun	Peace	 فَاصْفَحْ عَنْهُمْ وَقُلْ سَلَامٌ فَسَوْفَ يَعْلَمُونَ
50:34	2	bisalāmin	in peace	 ادْخُلُوهَا بِسَلَامٍ ذَٰلِكَ يَوْمُ الْخُلُودِ
51:25	5	salāman	Peace	 إِذْ دَخَلُوا عَلَيْهِ فَقَالُوا سَلَامًا قَالَ سَلَامٌ قَوْمٌ مُنْكَرُونَ
51:25	7	salāmun	Peace	 إِذْ دَخَلُوا عَلَيْهِ فَقَالُوا سَلَامًا قَالَ سَلَامٌ قَوْمٌ مُنْكَرُونَ
56:26	3	salāman	Peace	 إِلَّا قِيلًا سَلَامًا
56:26	4	salāman	Peace	 سَلَامًا
56:91	1	fasalāmun	Then, peace	 فَسَلَامٌ لَكَ مِنْ أَصْحَابِ الْيَمِينِ
59:23	10	l-salāmu	the Giver of Peace	 هُوَ اللَّهُ الَّذِي لَا إِلَٰهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ
97:5	1	salāmun	Peace	 سَلَامٌ هِيَ حَتَّىٰ مَطْلَعِ الْفَجْرِ
