surah:ayah	position	word	meaning	ayah_link
74:34	3	asfara	it brightens	 وَالصُّبْحِ إِذَا أَسْفَرَ
34:19	5	asfārinā	our journeys	 فَقَالُوا رَبَّنَا بَاعِدْ بَيْنَ أَسْفَارِنَا وَظَلَمُوا أَنْفُسَهُمْ
62:5	11	asfāran	books	 كَمَثَلِ الْحِمَارِ يَحْمِلُ أَسْفَارًا
2:184	9	safarin	a journey	 فَمَنْ كَانَ مِنْكُمْ مَرِيضًا أَوْ عَلَىٰ سَفَرٍ فَعِدَّةٌ مِنْ أَيَّامٍ أُخَرَ
2:185	23	safarin	a journey	 وَمَنْ كَانَ مَرِيضًا أَوْ عَلَىٰ سَفَرٍ فَعِدَّةٌ مِنْ أَيَّامٍ أُخَرَ
2:283	4	safarin	a journey	 وَإِنْ كُنْتُمْ عَلَىٰ سَفَرٍ وَلَمْ تَجِدُوا كَاتِبًا فَرِهَانٌ مَقْبُوضَةٌ
4:43	25	safarin	a journey	 وَإِنْ كُنْتُمْ مَرْضَىٰ أَوْ عَلَىٰ سَفَرٍ أَوْ جَاءَ أَحَدٌ مِنْكُمْ مِنَ الْغَائِطِ أَوْ لَامَسْتُمُ النِّسَاءَ فَلَمْ تَجِدُوا مَاءً فَتَيَمَّمُوا
5:6	27	safarin	a journey	 وَإِنْ كُنْتُمْ مَرْضَىٰ أَوْ عَلَىٰ سَفَرٍ أَوْ جَاءَ أَحَدٌ مِنْكُمْ مِنَ الْغَائِطِ أَوْ لَامَسْتُمُ النِّسَاءَ فَلَمْ تَجِدُوا مَاءً فَتَيَمَّمُوا
9:42	5	wasafaran	and a journey	 لَوْ كَانَ عَرَضًا قَرِيبًا وَسَفَرًا قَاصِدًا لَاتَّبَعُوكَ
18:62	10	safarinā	our journey	 لَقَدْ لَقِينَا مِنْ سَفَرِنَا هَٰذَا نَصَبًا
80:15	2	safaratin	(of) scribes	 بِأَيْدِي سَفَرَةٍ
80:38	3	mus'firatun	(will be) bright	 وُجُوهٌ يَوْمَئِذٍ مُسْفِرَةٌ
