surah:ayah	position	word	meaning	ayah_link
2:208	6	l-sil'mi	Islam	<a style='color:#95C7FF' href='https://quran.com/2:208/tafsirs/toBeReplaced'> يَا أَيُّهَا الَّذِينَ آمَنُوا ادْخُلُوا فِي السِّلْمِ كَافَّةً</a>
2:233	53	sallamtum	you pay	<a style='color:#95C7FF' href='https://quran.com/2:233/tafsirs/toBeReplaced'> فَلَا جُنَاحَ عَلَيْكُمْ إِذَا سَلَّمْتُمْ</a>
4:90	30	l-salama	[the] peace	<a style='color:#95C7FF' href='https://quran.com/4:90/tafsirs/toBeReplaced'> فَإِنِ اعْتَزَلُوكُمْ فَلَمْ يُقَاتِلُوكُمْ وَأَلْقَوْا إِلَيْكُمُ السَّلَمَ فَمَا جَعَلَ اللَّهُ لَكُمْ عَلَيْهِمْ سَبِيلًا</a>
4:91	20	l-salama	[the] peace	<a style='color:#95C7FF' href='https://quran.com/4:91/tafsirs/toBeReplaced'> فَإِنْ لَمْ يَعْتَزِلُوكُمْ وَيُلْقُوا إِلَيْكُمُ السَّلَمَ وَيَكُفُّوا أَيْدِيَهُمْ فَخُذُوهُمْ</a>
8:43	16	sallama	saved (you)	<a style='color:#95C7FF' href='https://quran.com/8:43/tafsirs/toBeReplaced'> وَلَوْ أَرَاكَهُمْ كَثِيرًا لَفَشِلْتُمْ وَلَتَنَازَعْتُمْ فِي الْأَمْرِ وَلَٰكِنَّ اللَّهَ سَلَّمَ</a>
8:61	3	lilssalmi	to peace	<a style='color:#95C7FF' href='https://quran.com/8:61/tafsirs/toBeReplaced'> وَإِنْ جَنَحُوا لِلسَّلْمِ فَاجْنَحْ لَهَا وَتَوَكَّلْ عَلَى اللَّهِ</a>
16:28	7	l-salama	the submission	<a style='color:#95C7FF' href='https://quran.com/16:28/tafsirs/toBeReplaced'> فَأَلْقَوُا السَّلَمَ مَا كُنَّا نَعْمَلُ مِنْ سُوءٍ</a>
16:87	5	l-salama	the submission	<a style='color:#95C7FF' href='https://quran.com/16:87/tafsirs/toBeReplaced'> وَأَلْقَوْا إِلَى اللَّهِ يَوْمَئِذٍ السَّلَمَ وَضَلَّ عَنْهُمْ مَا كَانُوا يَفْتَرُونَ</a>
24:61	61	fasallimū	then greet	<a style='color:#95C7FF' href='https://quran.com/24:61/tafsirs/toBeReplaced'> فَإِذَا دَخَلْتُمْ بُيُوتًا فَسَلِّمُوا عَلَىٰ أَنْفُسِكُمْ تَحِيَّةً مِنْ عِنْدِ اللَّهِ</a>
33:56	12	wasallimū	and greet him	<a style='color:#95C7FF' href='https://quran.com/33:56/tafsirs/toBeReplaced'> يَا أَيُّهَا الَّذِينَ آمَنُوا صَلُّوا عَلَيْهِ وَسَلِّمُوا تَسْلِيمًا</a>
47:35	5	l-salmi	peace	<a style='color:#95C7FF' href='https://quran.com/47:35/tafsirs/toBeReplaced'> فَلَا تَهِنُوا وَتَدْعُوا إِلَى السَّلْمِ وَأَنْتُمُ الْأَعْلَوْنَ</a>
52:38	3	sullamun	(is) a stairway	<a style='color:#95C7FF' href='https://quran.com/52:38/tafsirs/toBeReplaced'> أَمْ لَهُمْ سُلَّمٌ يَسْتَمِعُونَ فِيهِ فَلْيَأْتِ مُسْتَمِعُهُمْ بِسُلْطَانٍ مُبِينٍ</a>
