surah:ayah	position	word	meaning	ayah_link
7:73	2	thamūda	Thamud	 وَإِلَىٰ ثَمُودَ أَخَاهُمْ صَالِحًا قَالَ يَا قَوْمِ اعْبُدُوا اللَّهَ
9:70	10	wathamūda	and Thamud	 أَلَمْ يَأْتِهِمْ نَبَأُ الَّذِينَ مِنْ قَبْلِهِمْ قَوْمِ نُوحٍ وَعَادٍ وَثَمُودَ
11:61	2	thamūda	Thamud	 وَإِلَىٰ ثَمُودَ أَخَاهُمْ صَالِحًا قَالَ يَا قَوْمِ اعْبُدُوا اللَّهَ مَا لَكُمْ مِنْ إِلَٰهٍ غَيْرُهُ
11:68	7	thamūdā	Thamud	 كَأَنْ لَمْ يَغْنَوْا فِيهَا أَلَا إِنَّ ثَمُودَ كَفَرُوا رَبَّهُمْ
11:68	12	lithamūda	with Thamud	 أَلَا بُعْدًا لِثَمُودَ
11:95	10	thamūdu	the Thamud	 كَأَنْ لَمْ يَغْنَوْا فِيهَا أَلَا بُعْدًا لِمَدْيَنَ كَمَا بَعِدَتْ ثَمُودُ
14:9	10	wathamūda	and Thamud	 أَلَمْ يَأْتِكُمْ نَبَأُ الَّذِينَ مِنْ قَبْلِكُمْ قَوْمِ نُوحٍ وَعَادٍ وَثَمُودَ
17:59	12	thamūda	Thamud	 وَآتَيْنَا ثَمُودَ النَّاقَةَ مُبْصِرَةً فَظَلَمُوا بِهَا
22:42	9	wathamūdu	and Thamud	 وَإِنْ يُكَذِّبُوكَ فَقَدْ كَذَّبَتْ قَبْلَهُمْ قَوْمُ نُوحٍ وَعَادٌ وَثَمُودُ
25:38	2	wathamūdā	and Thamud	 وَعَادًا وَثَمُودَ وَأَصْحَابَ الرَّسِّ وَقُرُونًا بَيْنَ ذَٰلِكَ كَثِيرًا
26:141	2	thamūdu	Thamud	 كَذَّبَتْ ثَمُودُ الْمُرْسَلِينَ
27:45	4	thamūda	Thamud	 وَلَقَدْ أَرْسَلْنَا إِلَىٰ ثَمُودَ أَخَاهُمْ صَالِحًا أَنِ اعْبُدُوا اللَّهَ
29:38	2	wathamūdā	and Thamud	 وَعَادًا وَثَمُودَ وَقَدْ تَبَيَّنَ لَكُمْ مِنْ مَسَاكِنِهِمْ
38:13	1	wathamūdu	And Thamud	 وَثَمُودُ وَقَوْمُ لُوطٍ وَأَصْحَابُ الْأَيْكَةِ أُولَٰئِكَ الْأَحْزَابُ
40:31	6	wathamūda	and Thamud	 مِثْلَ دَأْبِ قَوْمِ نُوحٍ وَعَادٍ وَثَمُودَ وَالَّذِينَ مِنْ بَعْدِهِمْ
41:13	9	wathamūda	and Thamud	 فَإِنْ أَعْرَضُوا فَقُلْ أَنْذَرْتُكُمْ صَاعِقَةً مِثْلَ صَاعِقَةِ عَادٍ وَثَمُودَ
41:17	2	thamūdu	Thamud	 وَأَمَّا ثَمُودُ فَهَدَيْنَاهُمْ فَاسْتَحَبُّوا الْعَمَىٰ عَلَى الْهُدَىٰ
50:12	7	wathamūdu	and Thamud	 كَذَّبَتْ قَبْلَهُمْ قَوْمُ نُوحٍ وَأَصْحَابُ الرَّسِّ وَثَمُودُ
51:43	2	thamūda	Thamud	 وَفِي ثَمُودَ إِذْ قِيلَ لَهُمْ تَمَتَّعُوا حَتَّىٰ حِينٍ
53:51	1	wathamūdā	And Thamud	 وَثَمُودَ فَمَا أَبْقَىٰ
54:23	2	thamūdu	Thamud	 كَذَّبَتْ ثَمُودُ بِالنُّذُرِ
69:4	2	thamūdu	Thamud	 كَذَّبَتْ ثَمُودُ وَعَادٌ بِالْقَارِعَةِ
69:5	2	thamūdu	Thamud	 فَأَمَّا ثَمُودُ فَأُهْلِكُوا بِالطَّاغِيَةِ
85:18	2	wathamūda	and Thamud	 فِرْعَوْنَ وَثَمُودَ
89:9	1	wathamūda	And Thamud	 وَثَمُودَ الَّذِينَ جَابُوا الصَّخْرَ بِالْوَادِ
91:11	2	thamūdu	Thamud	 كَذَّبَتْ ثَمُودُ بِطَغْوَاهَا
