surah:ayah	position	word	meaning	ayah_link
7:8	5	thaqulat	(will be) heavy	 وَالْوَزْنُ يَوْمَئِذٍ الْحَقُّ فَمَنْ ثَقُلَتْ مَوَازِينُهُ فَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ
7:187	16	thaqulat	It lays heavily	 ثَقُلَتْ فِي السَّمَاوَاتِ وَالْأَرْضِ لَا تَأْتِيكُمْ إِلَّا بَغْتَةً
23:102	2	thaqulat	(are) heavy	 فَمَنْ ثَقُلَتْ مَوَازِينُهُ فَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ
101:6	3	thaqulat	(are) heavy	 فَأَمَّا مَنْ ثَقُلَتْ مَوَازِينُهُ
7:189	20	athqalat	she grows heavy	 فَلَمَّا أَثْقَلَتْ دَعَوَا اللَّهَ رَبَّهُمَا لَئِنْ آتَيْتَنَا صَالِحًا لَنَكُونَنَّ مِنَ الشَّاكِرِينَ
9:38	13	ithāqaltum	you cling heavily	 مَا لَكُمْ إِذَا قِيلَ لَكُمُ انْفِرُوا فِي سَبِيلِ اللَّهِ اثَّاقَلْتُمْ إِلَى الْأَرْضِ
16:7	2	athqālakum	your loads	 وَتَحْمِلُ أَثْقَالَكُمْ إِلَىٰ بَلَدٍ لَمْ تَكُونُوا بَالِغِيهِ إِلَّا بِشِقِّ الْأَنْفُسِ
29:13	2	athqālahum	their burdens	 وَلَيَحْمِلُنَّ أَثْقَالَهُمْ
29:13	3	wa-athqālan	and burdens	 وَلَيَحْمِلُنَّ أَثْقَالَهُمْ وَأَثْقَالًا مَعَ أَثْقَالِهِمْ
29:13	5	athqālihim	their burdens	 وَأَثْقَالًا مَعَ أَثْقَالِهِمْ
55:31	4	l-thaqalāni	two classes	 سَنَفْرُغُ لَكُمْ أَيُّهَ الثَّقَلَانِ
99:2	3	athqālahā	its burdens	 وَأَخْرَجَتِ الْأَرْضُ أَثْقَالَهَا
7:57	13	thiqālan	heavy	 حَتَّىٰ إِذَا أَقَلَّتْ سَحَابًا ثِقَالًا سُقْنَاهُ لِبَلَدٍ مَيِّتٍ
13:12	9	l-thiqāla	the heavy	 هُوَ الَّذِي يُرِيكُمُ الْبَرْقَ خَوْفًا وَطَمَعًا وَيُنْشِئُ السَّحَابَ الثِّقَالَ
73:5	5	thaqīlan	heavy	 إِنَّا سَنُلْقِي عَلَيْكَ قَوْلًا ثَقِيلًا
76:27	8	thaqīlan	grave	 إِنَّ هَٰؤُلَاءِ يُحِبُّونَ الْعَاجِلَةَ وَيَذَرُونَ وَرَاءَهُمْ يَوْمًا ثَقِيلًا
9:41	3	wathiqālan	or heavy	 انْفِرُوا خِفَافًا وَثِقَالًا وَجَاهِدُوا بِأَمْوَالِكُمْ وَأَنْفُسِكُمْ فِي سَبِيلِ اللَّهِ
4:40	5	mith'qāla	(as much as) weight	 إِنَّ اللَّهَ لَا يَظْلِمُ مِثْقَالَ ذَرَّةٍ
10:61	26	mith'qāli	(the) weight	 وَمَا يَعْزُبُ عَنْ رَبِّكَ مِنْ مِثْقَالِ ذَرَّةٍ فِي الْأَرْضِ وَلَا فِي السَّمَاءِ
21:47	12	mith'qāla	weight	 وَإِنْ كَانَ مِثْقَالَ حَبَّةٍ مِنْ خَرْدَلٍ أَتَيْنَا بِهَا وَكَفَىٰ بِنَا حَاسِبِينَ
31:16	5	mith'qāla	(the) weight	 يَا بُنَيَّ إِنَّهَا إِنْ تَكُ مِثْقَالَ حَبَّةٍ مِنْ خَرْدَلٍ فَتَكُنْ فِي صَخْرَةٍ أَوْ فِي السَّمَاوَاتِ أَوْ فِي الْأَرْضِ يَأْتِ بِهَا اللَّهُ
34:3	16	mith'qālu	(the) weight	 لَا يَعْزُبُ عَنْهُ مِثْقَالُ ذَرَّةٍ فِي السَّمَاوَاتِ وَلَا فِي الْأَرْضِ
34:22	10	mith'qāla	(the) weight	 لَا يَمْلِكُونَ مِثْقَالَ ذَرَّةٍ فِي السَّمَاوَاتِ وَلَا فِي الْأَرْضِ
99:7	3	mith'qāla	(equal to the) weight	 فَمَنْ يَعْمَلْ مِثْقَالَ ذَرَّةٍ خَيْرًا يَرَهُ
99:8	3	mith'qāla	(equal to the) weight	 وَمَنْ يَعْمَلْ مِثْقَالَ ذَرَّةٍ شَرًّا يَرَهُ
52:40	7	muth'qalūna	(are) overburdened	 أَمْ تَسْأَلُهُمْ أَجْرًا فَهُمْ مِنْ مَغْرَمٍ مُثْقَلُونَ
68:46	7	muth'qalūna	(are) burdened	 أَمْ تَسْأَلُهُمْ أَجْرًا فَهُمْ مِنْ مَغْرَمٍ مُثْقَلُونَ
35:18	8	muth'qalatun	a heavily laden	 وَإِنْ تَدْعُ مُثْقَلَةٌ إِلَىٰ حِمْلِهَا لَا يُحْمَلْ مِنْهُ شَيْءٌ وَلَوْ كَانَ ذَا قُرْبَىٰ
