surah:ayah	position	word	meaning	ayah_link
83:36	2	thuwwiba	been rewarded	 هَلْ ثُوِّبَ الْكُفَّارُ مَا كَانُوا يَفْعَلُونَ
3:153	11	fa-athābakum	So (He) repaid you	 فَأَثَابَكُمْ غَمًّا بِغَمٍّ لِكَيْلَا تَحْزَنُوا عَلَىٰ مَا فَاتَكُمْ وَلَا مَا أَصَابَكُمْ
5:85	1	fa-athābahumu	So rewarded them	 فَأَثَابَهُمُ اللَّهُ بِمَا قَالُوا جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ
48:18	17	wa-athābahum	and rewarded them	 فَعَلِمَ مَا فِي قُلُوبِهِمْ فَأَنْزَلَ السَّكِينَةَ عَلَيْهِمْ وَأَثَابَهُمْ فَتْحًا قَرِيبًا
3:145	13	thawāba	reward	 وَمَنْ يُرِدْ ثَوَابَ الدُّنْيَا نُؤْتِهِ مِنْهَا
3:145	19	thawāba	reward	 وَمَنْ يُرِدْ ثَوَابَ الْآخِرَةِ نُؤْتِهِ مِنْهَا
3:148	3	thawāba	reward	 فَآتَاهُمُ اللَّهُ ثَوَابَ الدُّنْيَا
3:148	6	thawābi	reward	 وَحُسْنَ ثَوَابِ الْآخِرَةِ
3:195	36	thawāban	a reward	 وَلَأُدْخِلَنَّهُمْ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ ثَوَابًا مِنْ عِنْدِ اللَّهِ
3:195	43	l-thawābi	reward	 وَاللَّهُ عِنْدَهُ حُسْنُ الثَّوَابِ
4:134	4	thawāba	reward	 مَنْ كَانَ يُرِيدُ ثَوَابَ الدُّنْيَا
4:134	8	thawābu	(is the) reward	 فَعِنْدَ اللَّهِ ثَوَابُ الدُّنْيَا وَالْآخِرَةِ
18:31	26	l-thawābu	(is) the reward	 مُتَّكِئِينَ فِيهَا عَلَى الْأَرَائِكِ نِعْمَ الثَّوَابُ وَحَسُنَتْ مُرْتَفَقًا
18:44	7	thawāban	(to) reward	 هُنَالِكَ الْوَلَايَةُ لِلَّهِ الْحَقِّ هُوَ خَيْرٌ ثَوَابًا وَخَيْرٌ عُقْبًا
18:46	11	thawāban	(for) reward	 وَالْبَاقِيَاتُ الصَّالِحَاتُ خَيْرٌ عِنْدَ رَبِّكَ ثَوَابًا وَخَيْرٌ أَمَلًا
19:76	11	thawāban	(for) reward	 وَالْبَاقِيَاتُ الصَّالِحَاتُ خَيْرٌ عِنْدَ رَبِّكَ ثَوَابًا وَخَيْرٌ مَرَدًّا
28:80	6	thawābu	(The) reward	 وَيْلَكُمْ ثَوَابُ اللَّهِ خَيْرٌ لِمَنْ آمَنَ وَعَمِلَ صَالِحًا
11:5	10	thiyābahum	(with) their garments	 أَلَا حِينَ يَسْتَغْشُونَ ثِيَابَهُمْ يَعْلَمُ مَا يُسِرُّونَ وَمَا يُعْلِنُونَ
18:31	16	thiyāban	garments	 وَيَلْبَسُونَ ثِيَابًا خُضْرًا مِنْ سُنْدُسٍ وَإِسْتَبْرَقٍ
22:19	10	thiyābun	garments	 فَالَّذِينَ كَفَرُوا قُطِّعَتْ لَهُمْ ثِيَابٌ مِنْ نَارٍ
24:58	21	thiyābakum	your garments	 مِنْ قَبْلِ صَلَاةِ الْفَجْرِ وَحِينَ تَضَعُونَ ثِيَابَكُمْ مِنَ الظَّهِيرَةِ
24:60	13	thiyābahunna	their (outer) garments	 فَلَيْسَ عَلَيْهِنَّ جُنَاحٌ أَنْ يَضَعْنَ ثِيَابَهُنَّ
71:7	11	thiyābahum	(with) their garments	 جَعَلُوا أَصَابِعَهُمْ فِي آذَانِهِمْ وَاسْتَغْشَوْا ثِيَابَهُمْ
74:4	1	wathiyābaka	And your clothing	 وَثِيَابَكَ فَطَهِّرْ
76:21	2	thiyābu	(will be) garments	 عَالِيَهُمْ ثِيَابُ سُنْدُسٍ خُضْرٌ وَإِسْتَبْرَقٌ
2:125	4	mathābatan	a place of return	 وَإِذْ جَعَلْنَا الْبَيْتَ مَثَابَةً لِلنَّاسِ وَأَمْنًا
2:103	5	lamathūbatun	surely (the) reward	 وَلَوْ أَنَّهُمْ آمَنُوا وَاتَّقَوْا لَمَثُوبَةٌ مِنْ عِنْدِ اللَّهِ خَيْرٌ
5:60	7	mathūbatan	(as) recompense	 قُلْ هَلْ أُنَبِّئُكُمْ بِشَرٍّ مِنْ ذَٰلِكَ مَثُوبَةً عِنْدَ اللَّهِ
