surah:ayah	position	word	meaning	ayah_link
3:36	2	waḍaʿathā	she delivered her	 فَلَمَّا وَضَعَتْهَا
3:36	6	waḍaʿtuhā	[I] (have) delivered [her]	 قَالَتْ رَبِّ إِنِّي وَضَعْتُهَا أُنْثَىٰ
3:36	11	waḍaʿat	she delivered	 قَالَتْ رَبِّ إِنِّي وَضَعْتُهَا أُنْثَىٰ وَاللَّهُ أَعْلَمُ بِمَا وَضَعَتْ
3:96	4	wuḍiʿa	set up	 إِنَّ أَوَّلَ بَيْتٍ وُضِعَ لِلنَّاسِ لَلَّذِي بِبَكَّةَ مُبَارَكًا
4:102	53	taḍaʿū	you lay down	 وَلَا جُنَاحَ عَلَيْكُمْ إِنْ كَانَ بِكُمْ أَذًى مِنْ مَطَرٍ أَوْ كُنْتُمْ مَرْضَىٰ أَنْ تَضَعُوا أَسْلِحَتَكُمْ
7:157	24	wayaḍaʿu	and he relieves	 وَيَضَعُ عَنْهُمْ إِصْرَهُمْ وَالْأَغْلَالَ الَّتِي كَانَتْ عَلَيْهِمْ
18:49	1	wawuḍiʿa	And (will) be placed	 وَوُضِعَ الْكِتَابُ فَتَرَى الْمُجْرِمِينَ مُشْفِقِينَ مِمَّا فِيهِ
21:47	1	wanaḍaʿu	And We set	 وَنَضَعُ الْمَوَازِينَ الْقِسْطَ لِيَوْمِ الْقِيَامَةِ
22:2	8	wataḍaʿu	and will deliver	 وَتَضَعُ كُلُّ ذَاتِ حَمْلٍ حَمْلَهَا
24:58	20	taḍaʿūna	you put aside	 مِنْ قَبْلِ صَلَاةِ الْفَجْرِ وَحِينَ تَضَعُونَ ثِيَابَكُمْ مِنَ الظَّهِيرَةِ
24:60	12	yaḍaʿna	they put aside	 فَلَيْسَ عَلَيْهِنَّ جُنَاحٌ أَنْ يَضَعْنَ ثِيَابَهُنَّ غَيْرَ مُتَبَرِّجَاتٍ بِزِينَةٍ
35:11	16	taḍaʿu	gives birth	 وَمَا تَحْمِلُ مِنْ أُنْثَىٰ وَلَا تَضَعُ إِلَّا بِعِلْمِهِ
39:69	5	wawuḍiʿa	and (will) be placed	 وَوُضِعَ الْكِتَابُ وَجِيءَ بِالنَّبِيِّينَ وَالشُّهَدَاءِ
41:47	16	taḍaʿu	gives birth	 وَمَا تَحْمِلُ مِنْ أُنْثَىٰ وَلَا تَضَعُ إِلَّا بِعِلْمِهِ
46:15	8	wawaḍaʿathu	and gave birth to him	 حَمَلَتْهُ أُمُّهُ كُرْهًا وَوَضَعَتْهُ كُرْهًا
47:4	18	taḍaʿa	lays down	 فَإِمَّا مَنًّا بَعْدُ وَإِمَّا فِدَاءً حَتَّىٰ تَضَعَ الْحَرْبُ أَوْزَارَهَا
55:7	3	wawaḍaʿa	and He has set up	 وَالسَّمَاءَ رَفَعَهَا وَوَضَعَ الْمِيزَانَ
55:10	2	waḍaʿahā	He laid it	 وَالْأَرْضَ وَضَعَهَا لِلْأَنَامِ
65:4	19	yaḍaʿna	they deliver	 وَأُولَاتُ الْأَحْمَالِ أَجَلُهُنَّ أَنْ يَضَعْنَ حَمْلَهُنَّ
65:6	18	yaḍaʿna	they deliver	 وَإِنْ كُنَّ أُولَاتِ حَمْلٍ فَأَنْفِقُوا عَلَيْهِنَّ حَتَّىٰ يَضَعْنَ حَمْلَهُنَّ
94:2	1	wawaḍaʿnā	And We removed	 وَوَضَعْنَا عَنْكَ وِزْرَكَ
9:47	8	wala-awḍaʿū	and would have been active	 وَلَأَوْضَعُوا خِلَالَكُمْ يَبْغُونَكُمُ الْفِتْنَةَ
4:46	7	mawāḍiʿihi	their places	 مِنَ الَّذِينَ هَادُوا يُحَرِّفُونَ الْكَلِمَ عَنْ مَوَاضِعِهِ
5:13	11	mawāḍiʿihi	their places	 يُحَرِّفُونَ الْكَلِمَ عَنْ مَوَاضِعِهِ وَنَسُوا حَظًّا مِمَّا ذُكِّرُوا بِهِ
5:41	31	mawāḍiʿihi	their context	 سَمَّاعُونَ لِقَوْمٍ آخَرِينَ لَمْ يَأْتُوكَ يُحَرِّفُونَ الْكَلِمَ مِنْ بَعْدِ مَوَاضِعِهِ
88:14	2	mawḍūʿatun	put in place	 وَأَكْوَابٌ مَوْضُوعَةٌ
