surah:ayah	position	word	meaning	ayah_link
2:268	2	yaʿidukumu	promises you	 الشَّيْطَانُ يَعِدُكُمُ الْفَقْرَ وَيَأْمُرُكُمْ بِالْفَحْشَاءِ
2:268	7	yaʿidukum	promises you	 وَاللَّهُ يَعِدُكُمْ مَغْفِرَةً مِنْهُ وَفَضْلًا وَاللَّهُ وَاسِعٌ عَلِيمٌ
3:194	4	waʿadttanā	You promised us	 رَبَّنَا وَآتِنَا مَا وَعَدْتَنَا عَلَىٰ رُسُلِكَ وَلَا تُخْزِنَا يَوْمَ الْقِيَامَةِ
4:95	24	waʿada	promised	 وَكُلًّا وَعَدَ اللَّهُ الْحُسْنَىٰ
4:120	1	yaʿiduhum	He promises them	 يَعِدُهُمْ وَيُمَنِّيهِمْ
4:120	4	yaʿiduhumu	promises them	 وَمَا يَعِدُهُمُ الشَّيْطَانُ إِلَّا غُرُورًا
5:9	1	waʿada	Has promised	 وَعَدَ اللَّهُ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ لَهُمْ مَغْفِرَةٌ وَأَجْرٌ عَظِيمٌ
6:134	3	tūʿadūna	you are promised	 إِنَّ مَا تُوعَدُونَ لَآتٍ وَمَا أَنْتُمْ بِمُعْجِزِينَ
7:44	10	waʿadanā	(had) promised us	 وَنَادَىٰ أَصْحَابُ الْجَنَّةِ أَصْحَابَ النَّارِ أَنْ قَدْ وَجَدْنَا مَا وَعَدَنَا رَبُّنَا حَقًّا
7:44	16	waʿada	(was) promised	 فَهَلْ وَجَدْتُمْ مَا وَعَدَ رَبُّكُمْ حَقًّا
7:70	13	taʿidunā	you promise us	 فَأْتِنَا بِمَا تَعِدُنَا إِنْ كُنْتَ مِنَ الصَّادِقِينَ
7:77	11	taʿidunā	you promise us	 وَقَالُوا يَا صَالِحُ ائْتِنَا بِمَا تَعِدُنَا إِنْ كُنْتَ مِنَ الْمُرْسَلِينَ
8:7	2	yaʿidukumu	promised you	 وَإِذْ يَعِدُكُمُ اللَّهُ إِحْدَى الطَّائِفَتَيْنِ أَنَّهَا لَكُمْ
9:68	1	waʿada	Allah has promised	 وَعَدَ اللَّهُ الْمُنَافِقِينَ وَالْمُنَافِقَاتِ وَالْكُفَّارَ نَارَ جَهَنَّمَ
9:72	1	waʿada	(Has been) promised	 وَعَدَ اللَّهُ الْمُؤْمِنِينَ وَالْمُؤْمِنَاتِ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ
9:77	12	waʿadūhu	they had promised Him	 فَأَعْقَبَهُمْ نِفَاقًا فِي قُلُوبِهِمْ إِلَىٰ يَوْمِ يَلْقَوْنَهُ بِمَا أَخْلَفُوا اللَّهَ مَا وَعَدُوهُ
9:114	9	waʿadahā	he had promised it	 وَمَا كَانَ اسْتِغْفَارُ إِبْرَاهِيمَ لِأَبِيهِ إِلَّا عَنْ مَوْعِدَةٍ وَعَدَهَا إِيَّاهُ
10:46	5	naʿiduhum	We promised them	 وَإِمَّا نُرِيَنَّكَ بَعْضَ الَّذِي نَعِدُهُمْ أَوْ نَتَوَفَّيَنَّكَ فَإِلَيْنَا مَرْجِعُهُمْ
11:32	9	taʿidunā	you threaten us (with)	 فَأَكْثَرْتَ جِدَالَنَا فَأْتِنَا بِمَا تَعِدُنَا إِنْ كُنْتَ مِنَ الصَّادِقِينَ
13:35	4	wuʿida	(is) promised	 مَثَلُ الْجَنَّةِ الَّتِي وُعِدَ الْمُتَّقُونَ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ
13:40	6	naʿiduhum	We have promised them	 وَإِنْ مَا نُرِيَنَّكَ بَعْضَ الَّذِي نَعِدُهُمْ أَوْ نَتَوَفَّيَنَّكَ فَإِنَّمَا عَلَيْكَ الْبَلَاغُ
14:22	8	waʿadakum	promised you	 وَقَالَ الشَّيْطَانُ لَمَّا قُضِيَ الْأَمْرُ إِنَّ اللَّهَ وَعَدَكُمْ وَعْدَ الْحَقِّ
14:22	11	wawaʿadttukum	And I promised you	 إِنَّ اللَّهَ وَعَدَكُمْ وَعْدَ الْحَقِّ وَوَعَدْتُكُمْ فَأَخْلَفْتُكُمْ
17:64	14	waʿid'hum	and promise them	 وَشَارِكْهُمْ فِي الْأَمْوَالِ وَالْأَوْلَادِ وَعِدْهُمْ
17:64	16	yaʿiduhumu	promises them	 وَعِدْهُمْ وَمَا يَعِدُهُمُ الشَّيْطَانُ إِلَّا غُرُورًا
19:61	4	waʿada	promised	 جَنَّاتِ عَدْنٍ الَّتِي وَعَدَ الرَّحْمَٰنُ عِبَادَهُ بِالْغَيْبِ
19:75	14	yūʿadūna	they were promised	 حَتَّىٰ إِذَا رَأَوْا مَا يُوعَدُونَ إِمَّا الْعَذَابَ وَإِمَّا السَّاعَةَ
20:86	10	yaʿid'kum	promise you	 قَالَ يَا قَوْمِ أَلَمْ يَعِدْكُمْ رَبُّكُمْ وَعْدًا حَسَنًا
21:103	11	tūʿadūna	promised	 وَتَتَلَقَّاهُمُ الْمَلَائِكَةُ هَٰذَا يَوْمُكُمُ الَّذِي كُنْتُمْ تُوعَدُونَ
21:109	13	tūʿadūna	you are promised	 وَإِنْ أَدْرِي أَقَرِيبٌ أَمْ بَعِيدٌ مَا تُوعَدُونَ
22:72	24	waʿadahā	Allah (has) promised it	 النَّارُ وَعَدَهَا اللَّهُ الَّذِينَ كَفَرُوا وَبِئْسَ الْمَصِيرُ
23:35	1	ayaʿidukum	Does he promise you 	 أَيَعِدُكُمْ أَنَّكُمْ إِذَا مِتُّمْ وَكُنْتُمْ تُرَابًا وَعِظَامًا أَنَّكُمْ مُخْرَجُونَ
23:36	4	tūʿadūna	you are promised	 هَيْهَاتَ هَيْهَاتَ لِمَا تُوعَدُونَ
23:83	2	wuʿid'nā	we have been promised	 لَقَدْ وُعِدْنَا نَحْنُ وَآبَاؤُنَا هَٰذَا مِنْ قَبْلُ
23:93	6	yūʿadūna	they are promised	 قُلْ رَبِّ إِمَّا تُرِيَنِّي مَا يُوعَدُونَ
23:95	6	naʿiduhum	We have promised them	 وَإِنَّا عَلَىٰ أَنْ نُرِيَكَ مَا نَعِدُهُمْ لَقَادِرُونَ
24:55	1	waʿada	Allah (has) promised	 وَعَدَ اللَّهُ الَّذِينَ آمَنُوا مِنْكُمْ وَعَمِلُوا الصَّالِحَاتِ لَيَسْتَخْلِفَنَّهُمْ فِي الْأَرْضِ
25:15	8	wuʿida	is promised	 قُلْ أَذَٰلِكَ خَيْرٌ أَمْ جَنَّةُ الْخُلْدِ الَّتِي وُعِدَ الْمُتَّقُونَ
26:206	5	yūʿadūna	promised	 ثُمَّ جَاءَهُمْ مَا كَانُوا يُوعَدُونَ
27:68	2	wuʿid'nā	we have been promised	 لَقَدْ وُعِدْنَا هَٰذَا نَحْنُ وَآبَاؤُنَا مِنْ قَبْلُ
