surah:ayah	position	word	meaning	ayah_link
4:11	39	wawarithahu	and inherit[ed] him	 فَإِنْ لَمْ يَكُنْ لَهُ وَلَدٌ وَوَرِثَهُ أَبَوَاهُ فَلِأُمِّهِ الثُّلُثُ
4:12	53	yūrathu	(whose wealth) is to be inherited	 وَإِنْ كَانَ رَجُلٌ يُورَثُ كَلَالَةً أَوِ امْرَأَةٌ وَلَهُ أَخٌ أَوْ أُخْتٌ فَلِكُلِّ وَاحِدٍ مِنْهُمَا السُّدُسُ
4:19	8	tarithū	you inherit	 يَا أَيُّهَا الَّذِينَ آمَنُوا لَا يَحِلُّ لَكُمْ أَنْ تَرِثُوا النِّسَاءَ كَرْهًا
4:176	20	yarithuhā	will inherit from her	 وَهُوَ يَرِثُهَا إِنْ لَمْ يَكُنْ لَهَا وَلَدٌ
7:100	4	yarithūna	inherit	 أَوَلَمْ يَهْدِ لِلَّذِينَ يَرِثُونَ الْأَرْضَ مِنْ بَعْدِ أَهْلِهَا أَنْ لَوْ نَشَاءُ أَصَبْنَاهُمْ بِذُنُوبِهِمْ
7:169	5	warithū	(who) inherited	 فَخَلَفَ مِنْ بَعْدِهِمْ خَلْفٌ وَرِثُوا الْكِتَابَ
19:6	1	yarithunī	Who will inherit me	 يَرِثُنِي وَيَرِثُ مِنْ آلِ يَعْقُوبَ
19:6	2	wayarithu	and inherit	 يَرِثُنِي وَيَرِثُ مِنْ آلِ يَعْقُوبَ وَاجْعَلْهُ رَبِّ رَضِيًّا
19:40	3	narithu	[We] will inherit	 إِنَّا نَحْنُ نَرِثُ الْأَرْضَ وَمَنْ عَلَيْهَا وَإِلَيْنَا يُرْجَعُونَ
19:80	1	wanarithuhu	And We will inherit (from) him	 وَنَرِثُهُ مَا يَقُولُ وَيَأْتِينَا فَرْدًا
21:105	10	yarithuhā	will inherit it	 أَنَّ الْأَرْضَ يَرِثُهَا عِبَادِيَ الصَّالِحُونَ
23:11	2	yarithūna	will inherit	 الَّذِينَ يَرِثُونَ الْفِرْدَوْسَ هُمْ فِيهَا خَالِدُونَ
27:16	1	wawaritha	And inherited	 وَوَرِثَ سُلَيْمَانُ دَاوُودَ وَقَالَ يَا أَيُّهَا النَّاسُ عُلِّمْنَا مَنْطِقَ الطَّيْرِ
7:43	33	ūrith'tumūhā	you have been made to inherit it	 وَنُودُوا أَنْ تِلْكُمُ الْجَنَّةُ أُورِثْتُمُوهَا بِمَا كُنْتُمْ تَعْمَلُونَ
7:128	10	yūrithuhā	He causes to inherit it	 إِنَّ الْأَرْضَ لِلَّهِ يُورِثُهَا مَنْ يَشَاءُ مِنْ عِبَادِهِ
7:137	1	wa-awrathnā	And We made inheritors	 وَأَوْرَثْنَا الْقَوْمَ الَّذِينَ كَانُوا يُسْتَضْعَفُونَ مَشَارِقَ الْأَرْضِ وَمَغَارِبَهَا الَّتِي بَارَكْنَا فِيهَا
19:63	4	nūrithu	We give (as) inheritance	 تِلْكَ الْجَنَّةُ الَّتِي نُورِثُ مِنْ عِبَادِنَا مَنْ كَانَ تَقِيًّا
26:59	2	wa-awrathnāhā	And We caused to inherit them	 كَذَٰلِكَ وَأَوْرَثْنَاهَا بَنِي إِسْرَائِيلَ
33:27	1	wa-awrathakum	And He caused you to inherit	 وَأَوْرَثَكُمْ أَرْضَهُمْ وَدِيَارَهُمْ وَأَمْوَالَهُمْ وَأَرْضًا لَمْ تَطَئُوهَا
