surah:ayah	position	word	meaning	form	p-o-s	ayah_link
5:7	7	wāthaqakum	He bound you	III	Verb	 وَاذْكُرُوا نِعْمَةَ اللَّهِ عَلَيْكُمْ وَمِيثَاقَهُ الَّذِي وَاثَقَكُمْ بِهِ
89:26	2	yūthiqu	will bind	IV	Verb	 وَلَا يُوثِقُ وَثَاقَهُ أَحَدٌ
12:66	7	mawthiqan	a promise	I	Noun	 قَالَ لَنْ أُرْسِلَهُ مَعَكُمْ حَتَّىٰ تُؤْتُونِ مَوْثِقًا مِنَ اللَّهِ
12:66	18	mawthiqahum	their promise	I	Noun	 فَلَمَّا آتَوْهُ مَوْثِقَهُمْ قَالَ اللَّهُ عَلَىٰ مَا نَقُولُ وَكِيلٌ
12:80	15	mawthiqan	a promise	I	Noun	 قَالَ كَبِيرُهُمْ أَلَمْ تَعْلَمُوا أَنَّ أَبَاكُمْ قَدْ أَخَذَ عَلَيْكُمْ مَوْثِقًا مِنَ اللَّهِ
2:27	7	mīthāqihi	its ratification	I	Noun	 الَّذِينَ يَنْقُضُونَ عَهْدَ اللَّهِ مِنْ بَعْدِ مِيثَاقِهِ
2:63	3	mīthāqakum	your covenant	I	Noun	 وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُمُ الطُّورَ
2:83	3	mīthāqa	(the) covenant	I	Noun	 وَإِذْ أَخَذْنَا مِيثَاقَ بَنِي إِسْرَائِيلَ لَا تَعْبُدُونَ إِلَّا اللَّهَ
2:84	3	mīthāqakum	your covenant	I	Noun	 وَإِذْ أَخَذْنَا مِيثَاقَكُمْ لَا تَسْفِكُونَ دِمَاءَكُمْ
2:93	3	mīthāqakum	your covenant	I	Noun	 وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُمُ الطُّورَ
3:81	4	mīthāqa	covenant	I	Noun	 وَإِذْ أَخَذَ اللَّهُ مِيثَاقَ النَّبِيِّينَ لَمَا آتَيْتُكُمْ مِنْ كِتَابٍ وَحِكْمَةٍ
3:187	4	mīthāqa	a Covenant	I	Noun	 وَإِذْ أَخَذَ اللَّهُ مِيثَاقَ الَّذِينَ أُوتُوا الْكِتَابَ لَتُبَيِّنُنَّهُ لِلنَّاسِ
4:21	10	mīthāqan	covenant	I	Noun	 وَأَخَذْنَ مِنْكُمْ مِيثَاقًا غَلِيظًا
4:90	8	mīthāqun	(is) a treaty	I	Noun	 إِلَّا الَّذِينَ يَصِلُونَ إِلَىٰ قَوْمٍ بَيْنَكُمْ وَبَيْنَهُمْ مِيثَاقٌ
4:92	40	mīthāqun	(is) a treaty	I	Noun	 وَإِنْ كَانَ مِنْ قَوْمٍ بَيْنَكُمْ وَبَيْنَهُمْ مِيثَاقٌ فَدِيَةٌ مُسَلَّمَةٌ إِلَىٰ أَهْلِهِ
4:154	4	bimīthāqihim	for their covenant	I	Noun	 وَرَفَعْنَا فَوْقَهُمُ الطُّورَ بِمِيثَاقِهِمْ
4:154	18	mīthāqan	a covenant	I	Noun	 وَقُلْنَا لَهُمْ لَا تَعْدُوا فِي السَّبْتِ وَأَخَذْنَا مِنْهُمْ مِيثَاقًا غَلِيظًا
4:155	3	mīthāqahum	(of) their covenant	I	Noun	 فَبِمَا نَقْضِهِمْ مِيثَاقَهُمْ وَكُفْرِهِمْ بِآيَاتِ اللَّهِ
5:7	5	wamīthāqahu	and His covenant	I	Noun	 وَاذْكُرُوا نِعْمَةَ اللَّهِ عَلَيْكُمْ وَمِيثَاقَهُ الَّذِي وَاثَقَكُمْ بِهِ
5:12	4	mīthāqa	a Covenant	I	Noun	 وَلَقَدْ أَخَذَ اللَّهُ مِيثَاقَ بَنِي إِسْرَائِيلَ وَبَعَثْنَا مِنْهُمُ اثْنَيْ عَشَرَ نَقِيبًا
5:13	3	mīthāqahum	(of) their covenant	I	Noun	 فَبِمَا نَقْضِهِمْ مِيثَاقَهُمْ لَعَنَّاهُمْ وَجَعَلْنَا قُلُوبَهُمْ قَاسِيَةً
