surah:ayah	position	word	meaning	ayah_link
6:31	26	yazirūna	they bear	 وَهُمْ يَحْمِلُونَ أَوْزَارَهُمْ عَلَىٰ ظُهُورِهِمْ أَلَا سَاءَ مَا يَزِرُونَ
6:164	17	taziru	bears	 وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
16:25	15	yazirūna	they will bear	 أَلَا سَاءَ مَا يَزِرُونَ
17:15	12	taziru	will bear	 وَمَنْ ضَلَّ فَإِنَّمَا يَضِلُّ عَلَيْهَا وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
35:18	2	taziru	will bear	 وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ وَإِنْ تَدْعُ مُثْقَلَةٌ إِلَىٰ حِمْلِهَا لَا يُحْمَلْ مِنْهُ شَيْءٌ وَلَوْ كَانَ ذَا قُرْبَىٰ
39:7	16	taziru	will bear	 وَإِنْ تَشْكُرُوا يَرْضَهُ لَكُمْ وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
53:38	2	taziru	will bear	 أَلَّا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
75:11	3	wazara	refuge	 كَلَّا لَا وَزَرَ
6:31	20	awzārahum	their burdens	 وَهُمْ يَحْمِلُونَ أَوْزَارَهُمْ عَلَىٰ ظُهُورِهِمْ
6:164	19	wiz'ra	burden	 وَلَا تَكْسِبُ كُلُّ نَفْسٍ إِلَّا عَلَيْهَا وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
16:25	2	awzārahum	their own burdens	 لِيَحْمِلُوا أَوْزَارَهُمْ كَامِلَةً يَوْمَ الْقِيَامَةِ
16:25	7	awzāri	the burdens	 لِيَحْمِلُوا أَوْزَارَهُمْ كَامِلَةً يَوْمَ الْقِيَامَةِ وَمِنْ أَوْزَارِ الَّذِينَ يُضِلُّونَهُمْ بِغَيْرِ عِلْمٍ
17:15	14	wiz'ra	burden	 وَمَنْ ضَلَّ فَإِنَّمَا يَضِلُّ عَلَيْهَا وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
20:87	8	awzāran	burdens	 وَلَٰكِنَّا حُمِّلْنَا أَوْزَارًا مِنْ زِينَةِ الْقَوْمِ فَقَذَفْنَاهَا
20:100	8	wiz'ran	a burden	 مَنْ أَعْرَضَ عَنْهُ فَإِنَّهُ يَحْمِلُ يَوْمَ الْقِيَامَةِ وِزْرًا
35:18	4	wiz'ra	burden	 وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
39:7	18	wiz'ra	(the) burden	 وَإِنْ تَشْكُرُوا يَرْضَهُ لَكُمْ وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
47:4	20	awzārahā	its burdens	 فَإِمَّا مَنًّا بَعْدُ وَإِمَّا فِدَاءً حَتَّىٰ تَضَعَ الْحَرْبُ أَوْزَارَهَا
53:38	4	wiz'ra	(the) burden	 أَلَّا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
94:2	3	wiz'raka	your burden	 وَوَضَعْنَا عَنْكَ وِزْرَكَ
20:29	3	wazīran	a minister	 وَاجْعَلْ لِي وَزِيرًا مِنْ أَهْلِي
25:35	9	wazīran	(as) an assistant	 وَلَقَدْ آتَيْنَا مُوسَى الْكِتَابَ وَجَعَلْنَا مَعَهُ أَخَاهُ هَارُونَ وَزِيرًا
6:164	18	wāziratun	any bearer of burden	 وَلَا تَكْسِبُ كُلُّ نَفْسٍ إِلَّا عَلَيْهَا وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
17:15	13	wāziratun	a bearer of burden	 وَمَنْ ضَلَّ فَإِنَّمَا يَضِلُّ عَلَيْهَا وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
35:18	3	wāziratun	bearer of burdens	 وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
39:7	17	wāziratun	bearer of burdens	 وَإِنْ تَشْكُرُوا يَرْضَهُ لَكُمْ وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
53:38	3	wāziratun	a bearer of burdens	 أَلَّا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ
