surah:ayah	position	word	meaning	ayah_link
8:27	5	takhūnū	betray	 يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَخُونُوا اللَّهَ وَالرَّسُولَ
8:27	8	watakhūnū	or betray	 وَتَخُونُوا أَمَانَاتِكُمْ وَأَنْتُمْ تَعْلَمُونَ
8:71	5	khānū	they have betrayed	 وَإِنْ يُرِيدُوا خِيَانَتَكَ فَقَدْ خَانُوا اللَّهَ مِنْ قَبْلُ
12:52	5	akhun'hu	[I] betray him	 ذَٰلِكَ لِيَعْلَمَ أَنِّي لَمْ أَخُنْهُ بِالْغَيْبِ
66:10	16	fakhānatāhumā	but they both betrayed them	 كَانَتَا تَحْتَ عَبْدَيْنِ مِنْ عِبَادِنَا صَالِحَيْنِ فَخَانَتَاهُمَا
2:187	18	takhtānūna	deceive	 عَلِمَ اللَّهُ أَنَّكُمْ كُنْتُمْ تَخْتَانُونَ أَنْفُسَكُمْ فَتَابَ عَلَيْكُمْ
4:107	5	yakhtānūna	deceive	 وَلَا تُجَادِلْ عَنِ الَّذِينَ يَخْتَانُونَ أَنْفُسَهُمْ
4:107	13	khawwānan	treacherous	 إِنَّ اللَّهَ لَا يُحِبُّ مَنْ كَانَ خَوَّانًا أَثِيمًا
22:38	12	khawwānin	treacherous	 إِنَّ اللَّهَ لَا يُحِبُّ كُلَّ خَوَّانٍ كَفُورٍ
8:58	5	khiyānatan	betrayal	 وَإِمَّا تَخَافَنَّ مِنْ قَوْمٍ خِيَانَةً فَانْبِذْ إِلَيْهِمْ عَلَىٰ سَوَاءٍ
8:71	3	khiyānataka	(to) betray you	 وَإِنْ يُرِيدُوا خِيَانَتَكَ فَقَدْ خَانُوا اللَّهَ مِنْ قَبْلُ
4:105	14	lil'khāinīna	for the deceitful	 وَلَا تَكُنْ لِلْخَائِنِينَ خَصِيمًا
8:58	14	l-khāinīna	the traitors	 إِنَّ اللَّهَ لَا يُحِبُّ الْخَائِنِينَ
12:52	12	l-khāinīna	(of) the betrayers	 وَأَنَّ اللَّهَ لَا يَهْدِي كَيْدَ الْخَائِنِينَ
5:13	21	khāinatin	treachery	 وَلَا تَزَالُ تَطَّلِعُ عَلَىٰ خَائِنَةٍ مِنْهُمْ إِلَّا قَلِيلًا مِنْهُمْ
40:19	2	khāinata	(the) stealthy glance	 يَعْلَمُ خَائِنَةَ الْأَعْيُنِ وَمَا تُخْفِي الصُّدُورُ
