surah:ayah	position	word	meaning	ayah_link
18:96	2	zubara	sheets	 آتُونِي زُبَرَ الْحَدِيدِ حَتَّىٰ إِذَا سَاوَىٰ بَيْنَ الصَّدَفَيْنِ قَالَ انْفُخُوا
3:184	10	wal-zuburi	and the Scriptures	 جَاءُوا بِالْبَيِّنَاتِ وَالزُّبُرِ وَالْكِتَابِ الْمُنِيرِ
16:44	2	wal-zuburi	and the Books	 بِالْبَيِّنَاتِ وَالزُّبُرِ
23:53	4	zuburan	(into) sects	 فَتَقَطَّعُوا أَمْرَهُمْ بَيْنَهُمْ زُبُرًا
26:196	3	zuburi	(the) Scriptures	 وَإِنَّهُ لَفِي زُبُرِ الْأَوَّلِينَ
35:25	11	wabil-zuburi	and with Scriptures	 جَاءَتْهُمْ رُسُلُهُمْ بِالْبَيِّنَاتِ وَبِالزُّبُرِ وَبِالْكِتَابِ الْمُنِيرِ
54:43	9	l-zuburi	the Scriptures	 أَكُفَّارُكُمْ خَيْرٌ مِنْ أُولَٰئِكُمْ أَمْ لَكُمْ بَرَاءَةٌ فِي الزُّبُرِ
54:52	5	l-zuburi	the written records	 وَكُلُّ شَيْءٍ فَعَلُوهُ فِي الزُّبُرِ
4:163	25	zabūran	the Zaboor	 وَآتَيْنَا دَاوُودَ زَبُورًا
17:55	15	zabūran	Zaboor	 وَلَقَدْ فَضَّلْنَا بَعْضَ النَّبِيِّينَ عَلَىٰ بَعْضٍ وَآتَيْنَا دَاوُودَ زَبُورًا
21:105	4	l-zabūri	the Scripture	 وَلَقَدْ كَتَبْنَا فِي الزَّبُورِ مِنْ بَعْدِ الذِّكْرِ أَنَّ الْأَرْضَ يَرِثُهَا عِبَادِيَ الصَّالِحُونَ
