surah:ayah	position	word	meaning	ayah_link
33:37	31	zawwajnākahā	We married her to you	 فَلَمَّا قَضَىٰ زَيْدٌ مِنْهَا وَطَرًا زَوَّجْنَاكَهَا
42:50	2	yuzawwijuhum	He grants them	 أَوْ يُزَوِّجُهُمْ ذُكْرَانًا وَإِنَاثًا وَيَجْعَلُ مَنْ يَشَاءُ عَقِيمًا
44:54	2	wazawwajnāhum	And We will marry them	 كَذَٰلِكَ وَزَوَّجْنَاهُمْ بِحُورٍ عِينٍ
52:20	5	wazawwajnāhum	and We will marry them	 مُتَّكِئِينَ عَلَىٰ سُرُرٍ مَصْفُوفَةٍ وَزَوَّجْنَاهُمْ بِحُورٍ عِينٍ
81:7	3	zuwwijat	are paired	 وَإِذَا النُّفُوسُ زُوِّجَتْ
2:25	30	azwājun	spouses	 وَلَهُمْ فِيهَا أَزْوَاجٌ مُطَهَّرَةٌ وَهُمْ فِيهَا خَالِدُونَ
2:35	5	wazawjuka	and your spouse	 وَقُلْنَا يَا آدَمُ اسْكُنْ أَنْتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا
2:102	42	wazawjihi	and his spouse	 فَيَتَعَلَّمُونَ مِنْهُمَا مَا يُفَرِّقُونَ بِهِ بَيْنَ الْمَرْءِ وَزَوْجِهِ
2:230	10	zawjan	a spouse	 فَإِنْ طَلَّقَهَا فَلَا تَحِلُّ لَهُ مِنْ بَعْدُ حَتَّىٰ تَنْكِحَ زَوْجًا غَيْرَهُ
2:232	10	azwājahunna	their husbands	 فَلَا تَعْضُلُوهُنَّ أَنْ يَنْكِحْنَ أَزْوَاجَهُنَّ إِذَا تَرَاضَوْا بَيْنَهُمْ بِالْمَعْرُوفِ
2:234	5	azwājan	wives	 وَالَّذِينَ يُتَوَفَّوْنَ مِنْكُمْ وَيَذَرُونَ أَزْوَاجًا يَتَرَبَّصْنَ بِأَنْفُسِهِنَّ أَرْبَعَةَ أَشْهُرٍ وَعَشْرًا
